Date,one dose cumulative
2021-07-26,1109516
2021-07-27,1111233
2021-07-28,1112692
2021-07-29,1112832
2021-07-30,1114221
2021-07-31,1115590
2021-08-01,1117337
2021-08-02,1118652
2021-08-03,1119451
2021-08-04,1120571
2021-08-05,1121715
2021-08-06,1122650
2021-08-07,1123628
2021-08-08,1124888
2021-08-09,1125838
2021-08-10,1126922
2021-08-11,1127729
2021-08-12,1128790
2021-08-13,1130084
2021-08-14,1131218
2021-08-15,1132397
2021-08-16,1133429
2021-08-17,1134610
2021-08-18,1135665
2021-08-19,1137094
2021-08-20,1138597
2021-08-21,1139883
2021-08-22,1141355
2021-08-23,1142338
2021-08-24,1143673
2021-08-25,1145018
2021-08-26,1146286
2021-08-27,1147498
2021-08-28,1148844
2021-08-29,1150145
2021-08-30,1151123
2021-08-31,1152402
2021-09-01,1153634
2021-09-02,1155005
2021-09-03,1156880
2021-09-04,1158479
2021-09-05,1160424
2021-09-06,1162052
2021-09-07,1163092
2021-09-08,1164651
2021-09-09,1166174
2021-09-10,1167584
2021-09-11,1169100
2021-09-12,1170625
2021-09-13,1171557
2021-09-14,1172497
2021-09-15,1173630
2021-09-16,1174884
2021-09-17,1176035
2021-09-18,1177330
2021-09-19,1178569
2021-09-20,1179586
2021-09-21,1180613
2021-09-22,1182119
2021-09-23,1183948
2021-09-24,1185881
2021-09-25,1187671
2021-09-26,1189537
2021-09-27,1190726
2021-09-28,1191914
2021-09-29,1193658
2021-09-30,1195092
2021-10-01,1196273
2021-10-02,1197415
2021-10-03,1198770
2021-10-04,1199670
2021-10-05,1200533
2021-10-06,1201664
2021-10-07,1202521
2021-10-08,1203645
2021-10-09,1205013
2021-10-10,1206655
2021-10-11,1207387
2021-10-12,1207684
2021-10-13,1208738
2021-10-14,1209802
2021-10-15,1210712
2021-10-16,1211571
2021-10-17,1212708
2021-10-18,1213342
2021-10-19,1214085
2021-10-20,1215125
2021-10-21,1215984
2021-10-22,1216828
2021-10-23,1217747
2021-10-24,1218698
2021-10-25,1219234
2021-10-26,1219901
2021-10-27,1220659
2021-10-28,1221374
2021-10-29,1222159
2021-10-30,1222918
2021-10-31,1223637
2021-11-01,1223979
2021-11-02,1224503
2021-11-03,1225222
2021-11-04,1225782
2021-11-05,1226102
2021-11-06,1226439
2021-11-07,1227157
2021-11-08,1227817
2021-11-09,1228244
2021-11-10,1228978
2021-11-11,1229706
2021-11-12,1230174
2021-11-13,1230844
2021-11-14,1231510
2021-11-15,1231861
2021-11-16,1232189
2021-11-17,1232742
2021-11-18,1233164
2021-11-19,1233629
2021-11-20,1234165
2021-11-21,1234758
2021-11-22,1235116
2021-11-23,1235463
2021-11-24,1235988
2021-11-25,1236464
2021-11-26,1236897
2021-11-27,1237395
2021-11-28,1237884
2021-11-29,1238115
2021-11-30,1238497
2021-12-01,1245130
2021-12-02,1246503
2021-12-03,1247885
2021-12-04,1250028
2021-12-05,1252732
2021-12-06,1254395
2021-12-07,1255184
2021-12-08,1257005
2021-12-09,1258499
2021-12-10,1260150
2021-12-11,1262358
2021-12-12,1264906
2021-12-13,1265836
2021-12-14,1266411
2021-12-15,1267672
2021-12-16,1268988
2021-12-17,1270426
2021-12-18,1272136
2021-12-19,1275153
2021-12-20,1276463
2021-12-21,1277172
2021-12-22,1279034
2021-12-23,1280584
2021-12-24,1281956
2021-12-25,1283128
2021-12-26,1283240
2021-12-27,1283315
2021-12-28,1283934
2021-12-29,1285623
2021-12-30,1286864
2021-12-31,1288127
2022-01-01,1289591
2022-01-02,1289673
2022-01-03,1290050
2022-01-04,1290637
2022-01-05,1291832
2022-01-06,1292880
2022-01-07,1293825
2022-01-08,1295007
2022-01-09,1296448
2022-01-10,1297427
2022-01-11,1297857
2022-01-12,1298895
2022-01-13,1299948
2022-01-14,1301037
2022-01-15,1302353
2022-01-16,1303979
2022-01-17,1305328
2022-01-18,1305653
2022-01-19,1306419
2022-01-20,1307407
2022-01-21,1308473
2022-01-22,1309709
2022-01-23,1310864
2022-01-24,1311794
2022-01-25,1312518
2022-01-26,1313158
2022-01-27,1313822
2022-01-28,1314578
2022-01-29,1315494
2022-01-30,1316370
2022-01-31,1316927
2022-02-01,1317500
2022-02-02,1318290
2022-02-03,1318944
2022-02-04,1319597
2022-02-05,1320470
2022-02-06,1321249
2022-02-07,1321777
2022-02-08,1322149
2022-02-09,1322704
2022-02-10,1323320
2022-02-11,1323992
2022-02-12,1324713
2022-02-13,1325359
2022-02-14,1326136
2022-02-15,1326579
2022-02-16,1327082
2022-02-17,1327570
2022-02-18,1328049
2022-02-19,1328636
2022-02-20,1329014
2022-02-21,1329264
2022-02-22,1329367
2022-02-23,1329693
2022-02-24,1330082
2022-02-25,1330473
2022-02-26,1330957
2022-02-27,1331254
2022-02-28,1331456
2022-03-01,1331781
2022-03-02,1332152
2022-03-03,1332510
2022-03-04,1332794
2022-03-05,1333080
2022-03-06,1333271
2022-03-07,1333384
2022-03-08,1333513
2022-03-09,1333635
2022-03-10,1333780
2022-03-11,1333924
2022-03-12,1334183
2022-03-13,1334364
2022-03-14,1334486
2022-03-15,1334650
2022-03-16,1334832
2022-03-17,1335032
2022-03-18,1335197
2022-03-19,1335377
2022-03-20,1335550
2022-03-21,1335620
2022-03-22,1335707
2022-03-23,1335852
2022-03-24,1335998
2022-03-25,1336102
2022-03-26,1336266
2022-03-27,1336401
