Date,age group,one dose cumulative
2021-07-26,12-17yrs,73919
2021-07-26,18-29yrs,238377
2021-07-26,30-39yrs,172195
2021-07-26,40-49yrs,163575
2021-07-26,50-59yrs,180325
2021-07-26,60-69yrs,144972
2021-07-26,70-79yrs,88671
2021-07-26,80+,47482
2021-07-27,12-17yrs,74264
2021-07-27,18-29yrs,238891
2021-07-27,30-39yrs,172513
2021-07-27,40-49yrs,163810
2021-07-27,50-59yrs,180492
2021-07-27,60-69yrs,145058
2021-07-27,70-79yrs,88706
2021-07-27,80+,47499
2021-07-28,12-17yrs,74577
2021-07-28,18-29yrs,239319
2021-07-28,30-39yrs,172781
2021-07-28,40-49yrs,163989
2021-07-28,50-59yrs,180641
2021-07-28,60-69yrs,145125
2021-07-28,70-79yrs,88747
2021-07-28,80+,47513
2021-07-29,12-17yrs,74821
2021-07-29,18-29yrs,239278
2021-07-29,30-39yrs,172613
2021-07-29,40-49yrs,164018
2021-07-29,50-59yrs,180702
2021-07-29,60-69yrs,145129
2021-07-29,70-79yrs,88759
2021-07-29,80+,47512
2021-07-30,12-17yrs,75176
2021-07-30,18-29yrs,239676
2021-07-30,30-39yrs,172873
2021-07-30,40-49yrs,164181
2021-07-30,50-59yrs,180804
2021-07-30,60-69yrs,145187
2021-07-30,70-79yrs,88795
2021-07-30,80+,47529
2021-07-31,12-17yrs,75475
2021-07-31,18-29yrs,240047
2021-07-31,30-39yrs,173129
2021-07-31,40-49yrs,164370
2021-07-31,50-59yrs,180932
2021-07-31,60-69yrs,145254
2021-07-31,70-79yrs,88832
2021-07-31,80+,47551
2021-08-01,12-17yrs,75822
2021-08-01,18-29yrs,240710
2021-08-01,30-39yrs,173409
2021-08-01,40-49yrs,164556
2021-08-01,50-59yrs,181095
2021-08-01,60-69yrs,145322
2021-08-01,70-79yrs,88869
2021-08-01,80+,47554
2021-08-02,12-17yrs,76115
2021-08-02,18-29yrs,241165
2021-08-02,30-39yrs,173610
2021-08-02,40-49yrs,164701
2021-08-02,50-59yrs,181210
2021-08-02,60-69yrs,145392
2021-08-02,70-79yrs,88892
2021-08-02,80+,47567
2021-08-03,12-17yrs,76262
2021-08-03,18-29yrs,241462
2021-08-03,30-39yrs,173743
2021-08-03,40-49yrs,164787
2021-08-03,50-59yrs,181270
2021-08-03,60-69yrs,145434
2021-08-03,70-79yrs,88911
2021-08-03,80+,47582
2021-08-04,12-17yrs,76487
2021-08-04,18-29yrs,241786
2021-08-04,30-39yrs,173962
2021-08-04,40-49yrs,164928
2021-08-04,50-59yrs,181381
2021-08-04,60-69yrs,145494
2021-08-04,70-79yrs,88933
2021-08-04,80+,47600
2021-08-05,12-17yrs,76742
2021-08-05,18-29yrs,242111
2021-08-05,30-39yrs,174159
2021-08-05,40-49yrs,165065
2021-08-05,50-59yrs,181481
2021-08-05,60-69yrs,145560
2021-08-05,70-79yrs,88976
2021-08-05,80+,47621
2021-08-06,12-17yrs,76960
2021-08-06,18-29yrs,242380
2021-08-06,30-39yrs,174290
2021-08-06,40-49yrs,165190
2021-08-06,50-59yrs,181579
2021-08-06,60-69yrs,145616
2021-08-06,70-79yrs,89001
2021-08-06,80+,47634
2021-08-07,12-17yrs,77165
2021-08-07,18-29yrs,242669
2021-08-07,30-39yrs,174478
2021-08-07,40-49yrs,165306
2021-08-07,50-59yrs,181665
2021-08-07,60-69yrs,145671
2021-08-07,70-79yrs,89029
2021-08-07,80+,47645
2021-08-08,12-17yrs,77387
2021-08-08,18-29yrs,243111
2021-08-08,30-39yrs,174707
2021-08-08,40-49yrs,165451
2021-08-08,50-59yrs,181792
2021-08-08,60-69yrs,145739
2021-08-08,70-79yrs,89051
2021-08-08,80+,47650
2021-08-09,12-17yrs,77582
2021-08-09,18-29yrs,243393
2021-08-09,30-39yrs,174882
2021-08-09,40-49yrs,165572
2021-08-09,50-59yrs,181885
2021-08-09,60-69yrs,145793
2021-08-09,70-79yrs,89071
2021-08-09,80+,47660
2021-08-10,12-17yrs,77796
2021-08-10,18-29yrs,243723
2021-08-10,30-39yrs,175094
2021-08-10,40-49yrs,165702
2021-08-10,50-59yrs,181979
2021-08-10,60-69yrs,145866
2021-08-10,70-79yrs,89095
2021-08-10,80+,47667
2021-08-11,12-17yrs,77987
2021-08-11,18-29yrs,243994
2021-08-11,30-39yrs,175262
2021-08-11,40-49yrs,165810
2021-08-11,50-59yrs,182016
2021-08-11,60-69yrs,145884
2021-08-11,70-79yrs,89104
2021-08-11,80+,47672
2021-08-12,12-17yrs,78158
2021-08-12,18-29yrs,244341
2021-08-12,30-39yrs,175469
2021-08-12,40-49yrs,165939
2021-08-12,50-59yrs,182121
2021-08-12,60-69yrs,145951
2021-08-12,70-79yrs,89126
2021-08-12,80+,47685
2021-08-13,12-17yrs,78377
2021-08-13,18-29yrs,244700
2021-08-13,30-39yrs,175684
2021-08-13,40-49yrs,166111
2021-08-13,50-59yrs,182288
2021-08-13,60-69yrs,146045
2021-08-13,70-79yrs,89176
2021-08-13,80+,47703
2021-08-14,12-17yrs,78559
2021-08-14,18-29yrs,245051
2021-08-14,30-39yrs,175885
2021-08-14,40-49yrs,166256
2021-08-14,50-59yrs,182417
2021-08-14,60-69yrs,146128
2021-08-14,70-79yrs,89204
2021-08-14,80+,47718
2021-08-15,12-17yrs,78731
2021-08-15,18-29yrs,245491
2021-08-15,30-39yrs,176098
2021-08-15,40-49yrs,166402
2021-08-15,50-59yrs,182534
2021-08-15,60-69yrs,146192
2021-08-15,70-79yrs,89227
2021-08-15,80+,47722
2021-08-16,12-17yrs,78925
2021-08-16,18-29yrs,245824
2021-08-16,30-39yrs,176273
2021-08-16,40-49yrs,166534
2021-08-16,50-59yrs,182639
2021-08-16,60-69yrs,146248
2021-08-16,70-79yrs,89252
2021-08-16,80+,47734
2021-08-17,12-17yrs,79135
2021-08-17,18-29yrs,246218
2021-08-17,30-39yrs,176484
2021-08-17,40-49yrs,166675
2021-08-17,50-59yrs,182764
2021-08-17,60-69yrs,146312
2021-08-17,70-79yrs,89278
2021-08-17,80+,47744
2021-08-18,12-17yrs,79321
2021-08-18,18-29yrs,246531
2021-08-18,30-39yrs,176656
2021-08-18,40-49yrs,166825
2021-08-18,50-59yrs,182866
2021-08-18,60-69yrs,146400
2021-08-18,70-79yrs,89304
2021-08-18,80+,47762
2021-08-19,12-17yrs,79848
2021-08-19,18-29yrs,246844
2021-08-19,30-39yrs,176860
2021-08-19,40-49yrs,166962
2021-08-19,50-59yrs,182986
2021-08-19,60-69yrs,146472
2021-08-19,70-79yrs,89346
2021-08-19,80+,47776
2021-08-20,12-17yrs,80329
2021-08-20,18-29yrs,247260
2021-08-20,30-39yrs,177061
2021-08-20,40-49yrs,167129
2021-08-20,50-59yrs,183086
2021-08-20,60-69yrs,146558
2021-08-20,70-79yrs,89396
2021-08-20,80+,47778
2021-08-21,12-17yrs,80667
2021-08-21,18-29yrs,247644
2021-08-21,30-39yrs,177263
2021-08-21,40-49yrs,167279
2021-08-21,50-59yrs,183202
2021-08-21,60-69yrs,146619
2021-08-21,70-79yrs,89427
2021-08-21,80+,47782
2021-08-22,12-17yrs,81044
