Date,age group,one dose cumulative
2021-07-26,12-17yrs,4925
2021-07-26,18-29yrs,14434
2021-07-26,30-39yrs,12660
2021-07-26,40-49yrs,11699
2021-07-26,50-59yrs,15144
2021-07-26,60-69yrs,20592
2021-07-26,70-79yrs,15795
2021-07-26,80+,9251
2021-07-27,12-17yrs,4956
2021-07-27,18-29yrs,14484
2021-07-27,30-39yrs,12682
2021-07-27,40-49yrs,11716
2021-07-27,50-59yrs,15171
2021-07-27,60-69yrs,20610
2021-07-27,70-79yrs,15802
2021-07-27,80+,9254
2021-07-28,12-17yrs,4978
2021-07-28,18-29yrs,14522
2021-07-28,30-39yrs,12706
2021-07-28,40-49yrs,11740
2021-07-28,50-59yrs,15184
2021-07-28,60-69yrs,20625
2021-07-28,70-79yrs,15815
2021-07-28,80+,9257
2021-07-29,12-17yrs,5016
2021-07-29,18-29yrs,14549
2021-07-29,30-39yrs,12722
2021-07-29,40-49yrs,11754
2021-07-29,50-59yrs,15207
2021-07-29,60-69yrs,20635
2021-07-29,70-79yrs,15822
2021-07-29,80+,9264
2021-07-30,12-17yrs,5063
2021-07-30,18-29yrs,14600
2021-07-30,30-39yrs,12756
2021-07-30,40-49yrs,11777
2021-07-30,50-59yrs,15229
2021-07-30,60-69yrs,20659
2021-07-30,70-79yrs,15834
2021-07-30,80+,9267
2021-07-31,12-17yrs,5070
2021-07-31,18-29yrs,14620
2021-07-31,30-39yrs,12765
2021-07-31,40-49yrs,11786
2021-07-31,50-59yrs,15234
2021-07-31,60-69yrs,20663
2021-07-31,70-79yrs,15834
2021-07-31,80+,9267
2021-08-01,12-17yrs,5076
2021-08-01,18-29yrs,14627
2021-08-01,30-39yrs,12773
2021-08-01,40-49yrs,11793
2021-08-01,50-59yrs,15237
2021-08-01,60-69yrs,20663
2021-08-01,70-79yrs,15833
2021-08-01,80+,9267
2021-08-02,12-17yrs,5079
2021-08-02,18-29yrs,14632
2021-08-02,30-39yrs,12776
2021-08-02,40-49yrs,11798
2021-08-02,50-59yrs,15241
2021-08-02,60-69yrs,20665
2021-08-02,70-79yrs,15833
2021-08-02,80+,9267
2021-08-03,12-17yrs,5084
2021-08-03,18-29yrs,14634
2021-08-03,30-39yrs,12779
2021-08-03,40-49yrs,11803
2021-08-03,50-59yrs,15242
2021-08-03,60-69yrs,20665
