Date,one dose cumulative
2021-07-26,55248
2021-07-27,55340
2021-07-28,55472
2021-07-29,55655
2021-07-30,55710
2021-07-31,55770
2021-08-01,55785
2021-08-02,55796
2021-08-03,55872
2021-08-04,55923
2021-08-05,56016
2021-08-06,56092
2021-08-07,56157
2021-08-08,56174
2021-08-09,56217
2021-08-10,56265
2021-08-11,56440
2021-08-12,56522
2021-08-13,56596
2021-08-14,56654
2021-08-15,56671
2021-08-16,56715
2021-08-17,56784
2021-08-18,56839
2021-08-19,57004
2021-08-20,57184
2021-08-21,57372
2021-08-22,57420
2021-08-23,57460
2021-08-24,57555
2021-08-25,57700
2021-08-26,57764
2021-08-27,57825
2021-08-28,57885
2021-08-29,57924
2021-08-30,57935
2021-08-31,57998
2021-09-01,58093
2021-09-02,58201
2021-09-03,58311
2021-09-04,58371
2021-09-05,58433
2021-09-06,58497
2021-09-07,58566
2021-09-08,58659
2021-09-09,58792
2021-09-10,59075
2021-09-11,59243
2021-09-12,59285
2021-09-13,59365
2021-09-14,59532
2021-09-15,59732
2021-09-16,59883
2021-09-17,60107
2021-09-18,60335
2021-09-19,60384
2021-09-20,60438
2021-09-21,60547
2021-09-22,60743
2021-09-23,60894
2021-09-24,61160
2021-09-25,61331
2021-09-26,61370
2021-09-27,61412
2021-09-28,61517
2021-09-29,61698
2021-09-30,61861
2021-10-01,61960
2021-10-02,62181
2021-10-03,62220
2021-10-04,62255
2021-10-05,62386
2021-10-06,62511
2021-10-07,62685
2021-10-08,62892
2021-10-09,63089
2021-10-10,63175
2021-10-11,63201
2021-10-12,63237
2021-10-13,63377
2021-10-14,63555
2021-10-15,63669
2021-10-16,63804
2021-10-17,63831
2021-10-18,63844
2021-10-19,63955
2021-10-20,64024
2021-10-21,64159
2021-10-22,64230
2021-10-23,64284
2021-10-24,64319
2021-10-25,64347
2021-10-26,64412
2021-10-27,64503
2021-10-28,64550
2021-10-29,64613
2021-10-30,64656
2021-10-31,64679
2021-11-01,64694
2021-11-02,64715
2021-11-03,64774
2021-11-04,64822
2021-11-05,64867
2021-11-06,64891
2021-11-07,64903
2021-11-08,64937
2021-11-09,64980
2021-11-10,65017
2021-11-11,65052
2021-11-12,65075
2021-11-13,65125
2021-11-14,65136
2021-11-15,65164
2021-11-16,65180
2021-11-17,65220
2021-11-18,65250
2021-11-19,65278
2021-11-20,65310
2021-11-21,65318
2021-11-22,65349
2021-11-23,65362
2021-11-24,65408
2021-11-25,65470
2021-11-26,65512
2021-11-27,65556
2021-11-28,65594
2021-11-29,65607
2021-11-30,65639
2021-12-01,66232
2021-12-02,66454
2021-12-03,66467
2021-12-04,66551
2021-12-05,66766
2021-12-06,66962
2021-12-07,67058
2021-12-08,67134
2021-12-09,67313
2021-12-10,67551
2021-12-11,67694
2021-12-12,67830
2021-12-13,67864
2021-12-14,67906
2021-12-15,67968
2021-12-16,68064
2021-12-17,68152
2021-12-18,68237
2021-12-19,68333
2021-12-20,68406
2021-12-21,68448
2021-12-22,68566
2021-12-23,68634
2021-12-24,68702
2021-12-25,68726
2021-12-26,68729
2021-12-27,68737
2021-12-28,68795
2021-12-29,68835
2021-12-30,68895
2021-12-31,68956
2022-01-01,68991
2022-01-02,68996
2022-01-03,69031
2022-01-04,69099
2022-01-05,69170
2022-01-06,69271
2022-01-07,69350
2022-01-08,69448
2022-01-09,69506
2022-01-10,69577
2022-01-11,69630
2022-01-12,69709
2022-01-13,69790
2022-01-14,69847
2022-01-15,69997
2022-01-16,70070
2022-01-17,70092
2022-01-18,70138
2022-01-19,70212
2022-01-20,70253
2022-01-21,70321
2022-01-22,70358
2022-01-23,70383
2022-01-24,70414
2022-01-25,70445
2022-01-26,70491
2022-01-27,70558
2022-01-28,70580
2022-01-29,70626
2022-01-30,70660
2022-01-31,70671
2022-02-01,70701
2022-02-02,70717
2022-02-03,70779
2022-02-04,70805
2022-02-05,70868
2022-02-06,70868
2022-02-07,70877
2022-02-08,70895
2022-02-09,70904
2022-02-10,70927
2022-02-11,70965
2022-02-12,70982
2022-02-13,70990
2022-02-14,71020
2022-02-15,71029
2022-02-16,71048
2022-02-17,71070
2022-02-18,71074
2022-02-19,71097
2022-02-20,71099
2022-02-21,71101
2022-02-22,71107
2022-02-23,71117
2022-02-24,71123
2022-02-25,71134
2022-02-26,71141
2022-02-27,71143
2022-02-28,71145
2022-03-01,71148
2022-03-02,71159
2022-03-03,71169
2022-03-04,71173
2022-03-05,71178
2022-03-06,71179
2022-03-07,71179
2022-03-08,71189
2022-03-09,71206
2022-03-10,71220
2022-03-11,71226
2022-03-12,71231
2022-03-13,71234
2022-03-14,71235
2022-03-15,71236
2022-03-16,71242
2022-03-17,71248
2022-03-18,71254
2022-03-19,71255
2022-03-20,71254
2022-03-21,71257
2022-03-22,71258
2022-03-23,71259
2022-03-24,71263
2022-03-25,71268
2022-03-26,71269
2022-03-27,71274
