Date,age group,one dose cumulative
2021-07-26,12-17yrs,3156
2021-07-26,18-29yrs,7940
2021-07-26,30-39yrs,6558
2021-07-26,40-49yrs,7091
2021-07-26,50-59yrs,9567
2021-07-26,60-69yrs,10695
2021-07-26,70-79yrs,6568
2021-07-26,80+,3673
2021-07-27,12-17yrs,3191
2021-07-27,18-29yrs,7968
2021-07-27,30-39yrs,6564
2021-07-27,40-49yrs,7100
2021-07-27,50-59yrs,9575
2021-07-27,60-69yrs,10697
2021-07-27,70-79yrs,6572
2021-07-27,80+,3673
2021-07-28,12-17yrs,3241
2021-07-28,18-29yrs,7990
2021-07-28,30-39yrs,6584
2021-07-28,40-49yrs,7115
2021-07-28,50-59yrs,9591
2021-07-28,60-69yrs,10703
2021-07-28,70-79yrs,6574
2021-07-28,80+,3674
2021-07-29,12-17yrs,3310
2021-07-29,18-29yrs,8041
2021-07-29,30-39yrs,6603
2021-07-29,40-49yrs,7133
2021-07-29,50-59yrs,9607
2021-07-29,60-69yrs,10711
2021-07-29,70-79yrs,6575
2021-07-29,80+,3675
2021-07-30,12-17yrs,3316
2021-07-30,18-29yrs,8055
2021-07-30,30-39yrs,6613
2021-07-30,40-49yrs,7147
2021-07-30,50-59yrs,9613
2021-07-30,60-69yrs,10714
2021-07-30,70-79yrs,6576
2021-07-30,80+,3676
2021-07-31,12-17yrs,3332
2021-07-31,18-29yrs,8065
2021-07-31,30-39yrs,6623
2021-07-31,40-49yrs,7165
2021-07-31,50-59yrs,9617
2021-07-31,60-69yrs,10715
2021-07-31,70-79yrs,6577
2021-07-31,80+,3676
2021-08-01,12-17yrs,3333
2021-08-01,18-29yrs,8071
2021-08-01,30-39yrs,6627
2021-08-01,40-49yrs,7168
2021-08-01,50-59yrs,9617
2021-08-01,60-69yrs,10715
2021-08-01,70-79yrs,6577
2021-08-01,80+,3677
2021-08-02,12-17yrs,3337
2021-08-02,18-29yrs,8073
2021-08-02,30-39yrs,6629
2021-08-02,40-49yrs,7170
2021-08-02,50-59yrs,9618
2021-08-02,60-69yrs,10715
2021-08-02,70-79yrs,6577
2021-08-02,80+,3677
2021-08-03,12-17yrs,3393
2021-08-03,18-29yrs,8081
2021-08-03,30-39yrs,6632
2021-08-03,40-49yrs,7173
2021-08-03,50-59yrs,9622
2021-08-03,60-69yrs,10717
2021-08-03,70-79yrs,6577
2021-08-03,80+,3677
2021-08-04,12-17yrs,3412
2021-08-04,18-29yrs,8087
2021-08-04,30-39yrs,6645
2021-08-04,40-49yrs,7180
2021-08-04,50-59yrs,9624
2021-08-04,60-69yrs,10721
2021-08-04,70-79yrs,6577
2021-08-04,80+,3677
2021-08-05,12-17yrs,3439
2021-08-05,18-29yrs,8118
2021-08-05,30-39yrs,6654
2021-08-05,40-49yrs,7191
2021-08-05,50-59yrs,9633
2021-08-05,60-69yrs,10724
2021-08-05,70-79yrs,6578
2021-08-05,80+,3679
2021-08-06,12-17yrs,3456
2021-08-06,18-29yrs,8140
2021-08-06,30-39yrs,6667
2021-08-06,40-49yrs,7201
2021-08-06,50-59yrs,9639
2021-08-06,60-69yrs,10730
2021-08-06,70-79yrs,6580
2021-08-06,80+,3679
2021-08-07,12-17yrs,3476
2021-08-07,18-29yrs,8157
2021-08-07,30-39yrs,6680
