Date,age group,one dose cumulative
2021-07-26,12-17yrs,3757
2021-07-26,18-29yrs,8364
2021-07-26,30-39yrs,7913
2021-07-26,40-49yrs,8136
2021-07-26,50-59yrs,11859
2021-07-26,60-69yrs,15152
2021-07-26,70-79yrs,10718
2021-07-26,80+,6139
2021-07-27,12-17yrs,3767
2021-07-27,18-29yrs,8379
2021-07-27,30-39yrs,7924
2021-07-27,40-49yrs,8145
2021-07-27,50-59yrs,11874
2021-07-27,60-69yrs,15154
2021-07-27,70-79yrs,10722
2021-07-27,80+,6141
2021-07-28,12-17yrs,3786
2021-07-28,18-29yrs,8398
2021-07-28,30-39yrs,7942
2021-07-28,40-49yrs,8161
2021-07-28,50-59yrs,11894
2021-07-28,60-69yrs,15167
2021-07-28,70-79yrs,10731
2021-07-28,80+,6142
2021-07-29,12-17yrs,3807
2021-07-29,18-29yrs,8461
2021-07-29,30-39yrs,7952
2021-07-29,40-49yrs,8176
2021-07-29,50-59yrs,11910
2021-07-29,60-69yrs,15176
2021-07-29,70-79yrs,10736
2021-07-29,80+,6143
2021-07-30,12-17yrs,3840
2021-07-30,18-29yrs,8486
2021-07-30,30-39yrs,7976
2021-07-30,40-49yrs,8190
2021-07-30,50-59yrs,11928
2021-07-30,60-69yrs,15186
2021-07-30,70-79yrs,10745
2021-07-30,80+,6144
2021-07-31,12-17yrs,3848
2021-07-31,18-29yrs,8492
2021-07-31,30-39yrs,7983
2021-07-31,40-49yrs,8198
2021-07-31,50-59yrs,11932
2021-07-31,60-69yrs,15190
2021-07-31,70-79yrs,10748
2021-07-31,80+,6144
2021-08-01,12-17yrs,3848
2021-08-01,18-29yrs,8498
2021-08-01,30-39yrs,7985
2021-08-01,40-49yrs,8203
2021-08-01,50-59yrs,11934
2021-08-01,60-69yrs,15191
2021-08-01,70-79yrs,10749
2021-08-01,80+,6145
2021-08-02,12-17yrs,3849
2021-08-02,18-29yrs,8498
2021-08-02,30-39yrs,7985
2021-08-02,40-49yrs,8204
2021-08-02,50-59yrs,11935
2021-08-02,60-69yrs,15190
2021-08-02,70-79yrs,10749
2021-08-02,80+,6145
2021-08-03,12-17yrs,3853
2021-08-03,18-29yrs,8503
2021-08-03,30-39yrs,7990
2021-08-03,40-49yrs,8205
2021-08-03,50-59yrs,11936
2021-08-03,60-69yrs,15190
2021-08-03,70-79yrs,10749
2021-08-03,80+,6145
2021-08-04,12-17yrs,3915
2021-08-04,18-29yrs,8565
2021-08-04,30-39yrs,8043
2021-08-04,40-49yrs,8234
2021-08-04,50-59yrs,11967
2021-08-04,60-69yrs,15218
2021-08-04,70-79yrs,10760
2021-08-04,80+,6147
2021-08-05,12-17yrs,3943
2021-08-05,18-29yrs,8608
2021-08-05,30-39yrs,8079
2021-08-05,40-49yrs,8263
2021-08-05,50-59yrs,12001
2021-08-05,60-69yrs,15262
2021-08-05,70-79yrs,10775
2021-08-05,80+,6147
2021-08-06,12-17yrs,3970
2021-08-06,18-29yrs,8635
2021-08-06,30-39yrs,8106
2021-08-06,40-49yrs,8279
2021-08-06,50-59yrs,12015
2021-08-06,60-69yrs,15267
2021-08-06,70-79yrs,10779
2021-08-06,80+,6148
2021-08-07,12-17yrs,3975
2021-08-07,18-29yrs,8641
2021-08-07,30-39yrs,8114
2021-08-07,40-49yrs,8284
2021-08-07,50-59yrs,12024
2021-08-07,60-69yrs,15278
2021-08-07,70-79yrs,10783
2021-08-07,80+,6148
2021-08-08,12-17yrs,3979
2021-08-08,18-29yrs,8652
2021-08-08,30-39yrs,8116
2021-08-08,40-49yrs,8289
2021-08-08,50-59yrs,12025
2021-08-08,60-69yrs,15279
2021-08-08,70-79yrs,10785
2021-08-08,80+,6148
2021-08-09,12-17yrs,3980
2021-08-09,18-29yrs,8652
2021-08-09,30-39yrs,8116
2021-08-09,40-49yrs,8289
2021-08-09,50-59yrs,12027
2021-08-09,60-69yrs,15281
2021-08-09,70-79yrs,10785
2021-08-09,80+,6148
2021-08-10,12-17yrs,3987
2021-08-10,18-29yrs,8655
2021-08-10,30-39yrs,8123
2021-08-10,40-49yrs,8295
2021-08-10,50-59yrs,12032
2021-08-10,60-69yrs,15291
2021-08-10,70-79yrs,10786
2021-08-10,80+,6149
2021-08-11,12-17yrs,3958
2021-08-11,18-29yrs,8591
2021-08-11,30-39yrs,8055
2021-08-11,40-49yrs,8220
2021-08-11,50-59yrs,11895
2021-08-11,60-69yrs,15131
2021-08-11,70-79yrs,10652
2021-08-11,80+,6089
2021-08-12,12-17yrs,3965
2021-08-12,18-29yrs,8606
2021-08-12,30-39yrs,8061
2021-08-12,40-49yrs,8229
2021-08-12,50-59yrs,11903
2021-08-12,60-69yrs,15136
2021-08-12,70-79yrs,10655
2021-08-12,80+,6090
2021-08-13,12-17yrs,4024
2021-08-13,18-29yrs,8729
2021-08-13,30-39yrs,8158
2021-08-13,40-49yrs,8330
2021-08-13,50-59yrs,12065
2021-08-13,60-69yrs,15319
2021-08-13,70-79yrs,10799
2021-08-13,80+,6155
2021-08-14,12-17yrs,4028
2021-08-14,18-29yrs,8750
2021-08-14,30-39yrs,8167
2021-08-14,40-49yrs,8338
2021-08-14,50-59yrs,12077
2021-08-14,60-69yrs,15332
2021-08-14,70-79yrs,10800
2021-08-14,80+,6156
2021-08-15,12-17yrs,4032
2021-08-15,18-29yrs,8757
2021-08-15,30-39yrs,8171
2021-08-15,40-49yrs,8342
2021-08-15,50-59yrs,12080
2021-08-15,60-69yrs,15335
2021-08-15,70-79yrs,10804
2021-08-15,80+,6156
2021-08-16,12-17yrs,4032
2021-08-16,18-29yrs,8762
2021-08-16,30-39yrs,8174
2021-08-16,40-49yrs,8343
2021-08-16,50-59yrs,12083
2021-08-16,60-69yrs,15334
2021-08-16,70-79yrs,10804
2021-08-16,80+,6156
2021-08-17,12-17yrs,4039
2021-08-17,18-29yrs,8780
2021-08-17,30-39yrs,8181
2021-08-17,40-49yrs,8354
2021-08-17,50-59yrs,12091
2021-08-17,60-69yrs,15337
2021-08-17,70-79yrs,10805
2021-08-17,80+,6156
2021-08-18,12-17yrs,4049
2021-08-18,18-29yrs,8798
2021-08-18,30-39yrs,8187
2021-08-18,40-49yrs,8361
2021-08-18,50-59yrs,12098
2021-08-18,60-69yrs,15340
2021-08-18,70-79yrs,10809
2021-08-18,80+,6156
2021-08-19,12-17yrs,4060
2021-08-19,18-29yrs,8814
2021-08-19,30-39yrs,8201
2021-08-19,40-49yrs,8368
2021-08-19,50-59yrs,12112
2021-08-19,60-69yrs,15347
2021-08-19,70-79yrs,10811
2021-08-19,80+,6157
2021-08-20,12-17yrs,4146
2021-08-20,18-29yrs,8887
2021-08-20,30-39yrs,8246
2021-08-20,40-49yrs,8405
2021-08-20,50-59yrs,12137
2021-08-20,60-69yrs,15365
2021-08-20,70-79yrs,10818
2021-08-20,80+,6159
2021-08-21,12-17yrs,4169
2021-08-21,18-29yrs,8912
2021-08-21,30-39yrs,8256
2021-08-21,40-49yrs,8417
2021-08-21,50-59yrs,12152
2021-08-21,60-69yrs,15376
2021-08-21,70-79yrs,10819
2021-08-21,80+,6159
2021-08-22,12-17yrs,4176
2021-08-22,18-29yrs,8917
2021-08-22,30-39yrs,8263
2021-08-22,40-49yrs,8421
2021-08-22,50-59yrs,12156
2021-08-22,60-69yrs,15379
2021-08-22,70-79yrs,10819
2021-08-22,80+,6159
2021-08-23,12-17yrs,4177
2021-08-23,18-29yrs,8920
2021-08-23,30-39yrs,8263
2021-08-23,40-49yrs,8421
2021-08-23,50-59yrs,12158
2021-08-23,60-69yrs,15379
2021-08-23,70-79yrs,10819
2021-08-23,80+,6159
2021-08-24,12-17yrs,4202
2021-08-24,18-29yrs,8937
2021-08-24,30-39yrs,8276
2021-08-24,40-49yrs,8430
2021-08-24,50-59yrs,12165
2021-08-24,60-69yrs,15385
2021-08-24,70-79yrs,10820
2021-08-24,80+,6160
2021-08-25,12-17yrs,4215
2021-08-25,18-29yrs,8961
2021-08-25,30-39yrs,8294
2021-08-25,40-49yrs,8437
2021-08-25,50-59yrs,12173
2021-08-25,60-69yrs,15397
2021-08-25,70-79yrs,10824
2021-08-25,80+,6160
2021-08-26,12-17yrs,4255
2021-08-26,18-29yrs,8962
2021-08-26,30-39yrs,8296
2021-08-26,40-49yrs,8431
2021-08-26,50-59yrs,12115
2021-08-26,60-69yrs,15319
2021-08-26,70-79yrs,10767
2021-08-26,80+,6136
2021-08-27,12-17yrs,4276
2021-08-27,18-29yrs,8992
2021-08-27,30-39yrs,8314
2021-08-27,40-49yrs,8441
2021-08-27,50-59yrs,12103
2021-08-27,60-69yrs,15299
2021-08-27,70-79yrs,10748
2021-08-27,80+,6120
2021-08-28,12-17yrs,4306
2021-08-28,18-29yrs,9026
2021-08-28,30-39yrs,8336
2021-08-28,40-49yrs,8455
