Date,age group,one dose cumulative
2021-07-26,12-17yrs,22717
2021-07-26,18-29yrs,56856
2021-07-26,30-39yrs,52981
2021-07-26,40-49yrs,54747
2021-07-26,50-59yrs,69932
2021-07-26,60-69yrs,74762
2021-07-26,70-79yrs,51801
2021-07-26,80+,29951
2021-07-27,12-17yrs,22834
2021-07-27,18-29yrs,57032
2021-07-27,30-39yrs,53111
2021-07-27,40-49yrs,54845
2021-07-27,50-59yrs,70017
2021-07-27,60-69yrs,74816
2021-07-27,70-79yrs,51829
2021-07-27,80+,29956
2021-07-28,12-17yrs,22969
2021-07-28,18-29yrs,57214
2021-07-28,30-39yrs,53279
2021-07-28,40-49yrs,54976
2021-07-28,50-59yrs,70124
2021-07-28,60-69yrs,74891
2021-07-28,70-79yrs,51851
2021-07-28,80+,29964
2021-07-29,12-17yrs,23163
2021-07-29,18-29yrs,57424
2021-07-29,30-39yrs,53465
2021-07-29,40-49yrs,55101
2021-07-29,50-59yrs,70240
2021-07-29,60-69yrs,74953
2021-07-29,70-79yrs,51873
2021-07-29,80+,29968
2021-07-30,12-17yrs,23286
2021-07-30,18-29yrs,57596
2021-07-30,30-39yrs,53576
2021-07-30,40-49yrs,55208
2021-07-30,50-59yrs,70333
2021-07-30,60-69yrs,75011
2021-07-30,70-79yrs,51898
2021-07-30,80+,29975
2021-07-31,12-17yrs,23404
2021-07-31,18-29yrs,57730
2021-07-31,30-39yrs,53710
2021-07-31,40-49yrs,55301
2021-07-31,50-59yrs,70422
2021-07-31,60-69yrs,75048
2021-07-31,70-79yrs,51912
2021-07-31,80+,29986
2021-08-01,12-17yrs,23520
2021-08-01,18-29yrs,57881
2021-08-01,30-39yrs,53839
2021-08-01,40-49yrs,55363
2021-08-01,50-59yrs,70473
2021-08-01,60-69yrs,75071
2021-08-01,70-79yrs,51921
2021-08-01,80+,29988
2021-08-02,12-17yrs,23621
2021-08-02,18-29yrs,58003
2021-08-02,30-39yrs,53941
2021-08-02,40-49yrs,55423
2021-08-02,50-59yrs,70530
2021-08-02,60-69yrs,75095
2021-08-02,70-79yrs,51930
2021-08-02,80+,29993
