Date,one dose cumulative
2021-07-26,142533
2021-07-27,142818
2021-07-28,143093
2021-07-29,143341
2021-07-30,143570
2021-07-31,143924
2021-08-01,143983
2021-08-02,144012
2021-08-03,144119
2021-08-04,144389
2021-08-05,144600
2021-08-06,144893
2021-08-07,145133
2021-08-08,145266
2021-08-09,145301
2021-08-10,145488
2021-08-11,144201
2021-08-12,144389
2021-08-13,146131
2021-08-14,146408
2021-08-15,146460
2021-08-16,146487
2021-08-17,146662
2021-08-18,146871
2021-08-19,147096
2021-08-20,147321
2021-08-21,147629
2021-08-22,147737
2021-08-23,147754
2021-08-24,148003
2021-08-25,148260
2021-08-26,148445
2021-08-27,148628
2021-08-28,148914
2021-08-29,149027
2021-08-30,149064
2021-08-31,149274
2021-09-01,149485
2021-09-02,149850
2021-09-03,150254
2021-09-04,150842
2021-09-05,150936
2021-09-06,150980
2021-09-07,151100
2021-09-08,151401
2021-09-09,151730
2021-09-10,152093
2021-09-11,152445
2021-09-12,152558
2021-09-13,152625
2021-09-14,152851
2021-09-15,153050
2021-09-16,153336
2021-09-17,153543
2021-09-18,153883
2021-09-19,154001
2021-09-20,154044
2021-09-21,154345
2021-09-22,154605
2021-09-23,154946
2021-09-24,155291
2021-09-25,155443
2021-09-26,155577
2021-09-27,155639
2021-09-28,155905
2021-09-29,156125
2021-09-30,156139
2021-10-01,156266
2021-10-02,156459
2021-10-03,156543
2021-10-04,156630
2021-10-05,156739
2021-10-06,156652
2021-10-07,156777
2021-10-08,156544
2021-10-09,156708
2021-10-10,156802
2021-10-11,156826
2021-10-12,156830
2021-10-13,157104
2021-10-14,157189
2021-10-15,157356
2021-10-16,157600
2021-10-17,157668
2021-10-18,157699
2021-10-19,157819
2021-10-20,157493
2021-10-21,157130
2021-10-22,156706
2021-10-23,156903
2021-10-24,156974
2021-10-25,156996
2021-10-26,156952
2021-10-27,156793
2021-10-28,157411
2021-10-29,157526
2021-10-30,157668
2021-10-31,157717
2021-11-01,157751
2021-11-02,157869
2021-11-03,158071
2021-11-04,158030
2021-11-05,157973
2021-11-06,157931
2021-11-07,157966
2021-11-08,158047
2021-11-09,158135
2021-11-10,158198
2021-11-11,158274
2021-11-12,158325
2021-11-13,158428
2021-11-14,158465
2021-11-15,158527
2021-11-16,158555
2021-11-17,158627
2021-11-18,158723
2021-11-19,158769
2021-11-20,158878
2021-11-21,158922
2021-11-22,158954
2021-11-23,159033
2021-11-24,159102
2021-11-25,159154
2021-11-26,159226
2021-11-27,159388
2021-11-28,159422
2021-11-29,159444
2021-11-30,159478
2021-12-01,160632
2021-12-02,161372
2021-12-03,161889
2021-12-04,162348
2021-12-05,163035
2021-12-06,163079
2021-12-07,163111
2021-12-08,163532
2021-12-09,164071
2021-12-10,164266
2021-12-11,164598
2021-12-12,164979
2021-12-13,165015
2021-12-14,165139
2021-12-15,165384
2021-12-16,165652
2021-12-17,165855
2021-12-18,166145
2021-12-19,166208
2021-12-20,166263
2021-12-21,166607
2021-12-22,166665
2021-12-23,166911
2021-12-24,167015
2021-12-25,167035
2021-12-26,167036
2021-12-27,167053
2021-12-28,167071
2021-12-29,167141
2021-12-30,167249
2021-12-31,167329
2022-01-01,167356
2022-01-02,167363
2022-01-03,167381
2022-01-04,167520
2022-01-05,167630
2022-01-06,167809
2022-01-07,167983
2022-01-08,168156
2022-01-09,168196
2022-01-10,168217
2022-01-11,168367
2022-01-12,168569
2022-01-13,168726
2022-01-14,168954
2022-01-15,169110
2022-01-16,169165
2022-01-17,169189
2022-01-18,169305
2022-01-19,169574
2022-01-20,169858
2022-01-21,170142
2022-01-22,170389
2022-01-23,170421
2022-01-24,170429
2022-01-25,170394
2022-01-26,170517
2022-01-27,170624
2022-01-28,170803
2022-01-29,170929
2022-01-30,171061
2022-01-31,171055
2022-02-01,171352
2022-02-02,171371
2022-02-03,171458
2022-02-04,171532
2022-02-05,171602
2022-02-06,171673
2022-02-07,171682
2022-02-08,171754
2022-02-09,171793
2022-02-10,171821
2022-02-11,171869
2022-02-12,171919
2022-02-13,171935
2022-02-14,172012
2022-02-15,172036
2022-02-16,172079
2022-02-17,172113
2022-02-18,172216
2022-02-19,172257
2022-02-20,172265
2022-02-21,172265
2022-02-22,172270
2022-02-23,172291
2022-02-24,172317
2022-02-25,172336
2022-02-26,172366
2022-02-27,172387
2022-02-28,172386
2022-03-01,172402
2022-03-02,172406
2022-03-03,172418
2022-03-04,172428
2022-03-05,172455
2022-03-06,172464
2022-03-07,172468
2022-03-08,172480
2022-03-09,172493
2022-03-10,172504
2022-03-11,172516
2022-03-12,172533
2022-03-13,172540
2022-03-14,172539
2022-03-15,172551
2022-03-16,172560
2022-03-17,172569
2022-03-18,172585
2022-03-19,172597
2022-03-20,172599
2022-03-21,172604
2022-03-22,172613
2022-03-23,172619
2022-03-24,172627
2022-03-25,172634
2022-03-26,172657
2022-03-27,172659
