Date,one dose cumulative
2021-07-26,136152
2021-07-27,136339
2021-07-28,136660
2021-07-29,136876
2021-07-30,137118
2021-07-31,137311
2021-08-01,137464
2021-08-02,137514
2021-08-03,137541
2021-08-04,137780
2021-08-05,137981
2021-08-06,138144
2021-08-07,138254
2021-08-08,138396
2021-08-09,138412
2021-08-10,138456
2021-08-11,138848
2021-08-12,139028
2021-08-13,139212
2021-08-14,139470
2021-08-15,139554
2021-08-16,139603
2021-08-17,139667
2021-08-18,139969
2021-08-19,140243
2021-08-20,140495
2021-08-21,140722
2021-08-22,140782
2021-08-23,140884
2021-08-24,141044
2021-08-25,141455
2021-08-26,141727
2021-08-27,141905
2021-08-28,142098
2021-08-29,142213
2021-08-30,142227
2021-08-31,142442
2021-09-01,142796
2021-09-02,143146
2021-09-03,143549
2021-09-04,143887
2021-09-05,144096
2021-09-06,144266
2021-09-07,144332
2021-09-08,144801
2021-09-09,145278
2021-09-10,145557
2021-09-11,145818
2021-09-12,146026
2021-09-13,146062
2021-09-14,146376
2021-09-15,146860
2021-09-16,147315
2021-09-17,147679
2021-09-18,148008
2021-09-19,148260
2021-09-20,148463
2021-09-21,148775
2021-09-22,149323
2021-09-23,149817
2021-09-24,150194
2021-09-25,150607
2021-09-26,151044
2021-09-27,151068
2021-09-28,151614
2021-09-29,152107
2021-09-30,152810
2021-10-01,152961
2021-10-02,153308
2021-10-03,153408
2021-10-04,153499
2021-10-05,153768
2021-10-06,154340
2021-10-07,154800
2021-10-08,155105
2021-10-09,155576
2021-10-10,155747
2021-10-11,155776
2021-10-12,155828
2021-10-13,156333
2021-10-14,156630
2021-10-15,156856
2021-10-16,157078
2021-10-17,157212
2021-10-18,157240
2021-10-19,157367
2021-10-20,157684
2021-10-21,157901
2021-10-22,158119
2021-10-23,158237
2021-10-24,158321
2021-10-25,158342
2021-10-26,158480
2021-10-27,158664
2021-10-28,158809
2021-10-29,159025
2021-10-30,159101
2021-10-31,159174
2021-11-01,159181
2021-11-02,159249
2021-11-03,159402
2021-11-04,159509
2021-11-05,159620
2021-11-06,159657
2021-11-07,159733
2021-11-08,159802
2021-11-09,159877
2021-11-10,160056
2021-11-11,160196
2021-11-12,160264
2021-11-13,160391
2021-11-14,160485
2021-11-15,160491
2021-11-16,160545
2021-11-17,160680
2021-11-18,160800
2021-11-19,160881
2021-11-20,160946
2021-11-21,161033
2021-11-22,161042
2021-11-23,161109
2021-11-24,161266
2021-11-25,161347
2021-11-26,161479
2021-11-27,161630
2021-11-28,161661
2021-11-29,161667
2021-11-30,161708
2021-12-01,163152
2021-12-02,163612
2021-12-03,163956
2021-12-04,164326
2021-12-05,164542
2021-12-06,164563
2021-12-07,164831
2021-12-08,165351
2021-12-09,165662
2021-12-10,166168
2021-12-11,166462
2021-12-12,166631
2021-12-13,166642
2021-12-14,166789
2021-12-15,167072
2021-12-16,167371
2021-12-17,167776
2021-12-18,168002
2021-12-19,168206
2021-12-20,168258
2021-12-21,168406
2021-12-22,168794
2021-12-23,169019
2021-12-24,169203
2021-12-25,169226
2021-12-26,169226
2021-12-27,169227
2021-12-28,169274
2021-12-29,169517
2021-12-30,169710
2021-12-31,169958
2022-01-01,170084
2022-01-02,170101
2022-01-03,170112
2022-01-04,170159
2022-01-05,170314
2022-01-06,170428
2022-01-07,170680
2022-01-08,170836
2022-01-09,170986
2022-01-10,170996
2022-01-11,171079
2022-01-12,171257
2022-01-13,171392
2022-01-14,171650
2022-01-15,171760
2022-01-16,171884
2022-01-17,171885
2022-01-18,171961
2022-01-19,172129
2022-01-20,172270
2022-01-21,172398
2022-01-22,172513
2022-01-23,172562
2022-01-24,172572
2022-01-25,172618
2022-01-26,172719
2022-01-27,172794
2022-01-28,172891
2022-01-29,172995
2022-01-30,173058
2022-01-31,173056
2022-02-01,173127
2022-02-02,173235
2022-02-03,173310
2022-02-04,173396
2022-02-05,173476
2022-02-06,173518
2022-02-07,173525
2022-02-08,173569
2022-02-09,173633
2022-02-10,173716
2022-02-11,173802
2022-02-12,173856
2022-02-13,173891
2022-02-14,173953
2022-02-15,173978
2022-02-16,174028
2022-02-17,174099
2022-02-18,174135
2022-02-19,174193
2022-02-20,174205
2022-02-21,174208
2022-02-22,174212
2022-02-23,174229
2022-02-24,174258
2022-02-25,174303
2022-02-26,174330
2022-02-27,174337
2022-02-28,174338
2022-03-01,174363
2022-03-02,174382
2022-03-03,174413
2022-03-04,174422
2022-03-05,174434
2022-03-06,174449
2022-03-07,174450
2022-03-08,174455
2022-03-09,174476
2022-03-10,174485
2022-03-11,174499
2022-03-12,174512
2022-03-13,174523
2022-03-14,174522
2022-03-15,174528
2022-03-16,174546
2022-03-17,174563
2022-03-18,174572
2022-03-19,174591
2022-03-20,174598
2022-03-21,174598
2022-03-22,174609
2022-03-23,174624
2022-03-24,174626
2022-03-25,174630
2022-03-26,174632
2022-03-27,174651
