Date,age group,one dose cumulative
2021-07-26,12-17yrs,7131
2021-07-26,18-29yrs,18641
2021-07-26,30-39yrs,15709
2021-07-26,40-49yrs,17558
2021-07-26,50-59yrs,22894
2021-07-26,60-69yrs,25900
2021-07-26,70-79yrs,17866
2021-07-26,80+,10453
2021-07-27,12-17yrs,7149
2021-07-27,18-29yrs,18684
2021-07-27,30-39yrs,15734
2021-07-27,40-49yrs,17588
2021-07-27,50-59yrs,22927
2021-07-27,60-69yrs,25921
2021-07-27,70-79yrs,17880
2021-07-27,80+,10456
2021-07-28,12-17yrs,7209
2021-07-28,18-29yrs,18758
2021-07-28,30-39yrs,15799
2021-07-28,40-49yrs,17629
2021-07-28,50-59yrs,22969
2021-07-28,60-69yrs,25942
2021-07-28,70-79yrs,17895
2021-07-28,80+,10459
2021-07-29,12-17yrs,7270
2021-07-29,18-29yrs,18798
2021-07-29,30-39yrs,15837
2021-07-29,40-49yrs,17671
2021-07-29,50-59yrs,22998
2021-07-29,60-69yrs,25949
2021-07-29,70-79yrs,17893
2021-07-29,80+,10460
2021-07-30,12-17yrs,7312
2021-07-30,18-29yrs,18861
2021-07-30,30-39yrs,15875
2021-07-30,40-49yrs,17701
2021-07-30,50-59yrs,23033
2021-07-30,60-69yrs,25973
2021-07-30,70-79yrs,17902
2021-07-30,80+,10461
2021-07-31,12-17yrs,7359
2021-07-31,18-29yrs,18911
2021-07-31,30-39yrs,15900
2021-07-31,40-49yrs,17727
2021-07-31,50-59yrs,23054
2021-07-31,60-69yrs,25988
2021-07-31,70-79yrs,17907
2021-07-31,80+,10465
2021-08-01,12-17yrs,7389
2021-08-01,18-29yrs,18946
2021-08-01,30-39yrs,15925
2021-08-01,40-49yrs,17750
2021-08-01,50-59yrs,23075
2021-08-01,60-69yrs,25999
2021-08-01,70-79yrs,17913
2021-08-01,80+,10467
2021-08-02,12-17yrs,7398
2021-08-02,18-29yrs,18958
2021-08-02,30-39yrs,15935
2021-08-02,40-49yrs,17758
2021-08-02,50-59yrs,23081
2021-08-02,60-69yrs,26002
2021-08-02,70-79yrs,17914
2021-08-02,80+,10468
2021-08-03,12-17yrs,7401
2021-08-03,18-29yrs,18968
2021-08-03,30-39yrs,15941
2021-08-03,40-49yrs,17761
2021-08-03,50-59yrs,23084
2021-08-03,60-69yrs,26003
2021-08-03,70-79yrs,17915
2021-08-03,80+,10468
2021-08-04,12-17yrs,7469
2021-08-04,18-29yrs,19036
2021-08-04,30-39yrs,15968
2021-08-04,40-49yrs,17790
2021-08-04,50-59yrs,23102
2021-08-04,60-69yrs,26021
2021-08-04,70-79yrs,17926
2021-08-04,80+,10468
2021-08-05,12-17yrs,7498
2021-08-05,18-29yrs,19081
2021-08-05,30-39yrs,16016
2021-08-05,40-49yrs,17826
2021-08-05,50-59yrs,23124
2021-08-05,60-69yrs,26033
2021-08-05,70-79yrs,17933
2021-08-05,80+,10470
2021-08-06,12-17yrs,7539
2021-08-06,18-29yrs,19118
2021-08-06,30-39yrs,16043
2021-08-06,40-49yrs,17852
2021-08-06,50-59yrs,23146
2021-08-06,60-69yrs,26039
2021-08-06,70-79yrs,17935
2021-08-06,80+,10472
2021-08-07,12-17yrs,7545
2021-08-07,18-29yrs,19152
2021-08-07,30-39yrs,16074
2021-08-07,40-49yrs,17867
2021-08-07,50-59yrs,23159
2021-08-07,60-69yrs,26044
2021-08-07,70-79yrs,17938
2021-08-07,80+,10475
2021-08-08,12-17yrs,7583
2021-08-08,18-29yrs,19190
2021-08-08,30-39yrs,16097
2021-08-08,40-49yrs,17891
2021-08-08,50-59yrs,23169
2021-08-08,60-69yrs,26051
2021-08-08,70-79yrs,17939
2021-08-08,80+,10476
2021-08-09,12-17yrs,7587
2021-08-09,18-29yrs,19196
2021-08-09,30-39yrs,16101
2021-08-09,40-49yrs,17891
2021-08-09,50-59yrs,23171
2021-08-09,60-69yrs,26051
2021-08-09,70-79yrs,17939
2021-08-09,80+,10476
2021-08-10,12-17yrs,7593
2021-08-10,18-29yrs,19207
2021-08-10,30-39yrs,16109
2021-08-10,40-49yrs,17895
2021-08-10,50-59yrs,23178
2021-08-10,60-69yrs,26054
2021-08-10,70-79yrs,17943
2021-08-10,80+,10477
2021-08-11,12-17yrs,7687
2021-08-11,18-29yrs,19306
2021-08-11,30-39yrs,16178
2021-08-11,40-49yrs,17947
2021-08-11,50-59yrs,23228
2021-08-11,60-69yrs,26072
2021-08-11,70-79yrs,17946
2021-08-11,80+,10484
2021-08-12,12-17yrs,7713
2021-08-12,18-29yrs,19352
2021-08-12,30-39yrs,16209
2021-08-12,40-49yrs,17972
2021-08-12,50-59yrs,23256
2021-08-12,60-69yrs,26088
2021-08-12,70-79yrs,17952
2021-08-12,80+,10486
2021-08-13,12-17yrs,7742
2021-08-13,18-29yrs,19398
2021-08-13,30-39yrs,16244
2021-08-13,40-49yrs,18002
2021-08-13,50-59yrs,23278
2021-08-13,60-69yrs,26107
2021-08-13,70-79yrs,17955
2021-08-13,80+,10486
2021-08-14,12-17yrs,7783
2021-08-14,18-29yrs,19442
2021-08-14,30-39yrs,16298
2021-08-14,40-49yrs,18050
2021-08-14,50-59yrs,23318
2021-08-14,60-69yrs,26133
2021-08-14,70-79yrs,17959
2021-08-14,80+,10487
2021-08-15,12-17yrs,7798
2021-08-15,18-29yrs,19466
2021-08-15,30-39yrs,16311
2021-08-15,40-49yrs,18058
2021-08-15,50-59yrs,23328
2021-08-15,60-69yrs,26143
2021-08-15,70-79yrs,17962
2021-08-15,80+,10488
2021-08-16,12-17yrs,7805
2021-08-16,18-29yrs,19479
2021-08-16,30-39yrs,16326
2021-08-16,40-49yrs,18063
2021-08-16,50-59yrs,23332
2021-08-16,60-69yrs,26147
2021-08-16,70-79yrs,17963
2021-08-16,80+,10488
2021-08-17,12-17yrs,7814
2021-08-17,18-29yrs,19499
2021-08-17,30-39yrs,16335
2021-08-17,40-49yrs,18071
2021-08-17,50-59yrs,23340
2021-08-17,60-69yrs,26156
2021-08-17,70-79yrs,17965
2021-08-17,80+,10487
2021-08-18,12-17yrs,7887
2021-08-18,18-29yrs,19625
2021-08-18,30-39yrs,16396
2021-08-18,40-49yrs,18110
2021-08-18,50-59yrs,23361
2021-08-18,60-69yrs,26154
2021-08-18,70-79yrs,17946
2021-08-18,80+,10490
2021-08-19,12-17yrs,7982
2021-08-19,18-29yrs,19690
2021-08-19,30-39yrs,16443
