Date,age group,one dose cumulative
2021-07-26,12-17yrs,5822
2021-07-26,18-29yrs,17660
2021-07-26,30-39yrs,14559
2021-07-26,40-49yrs,13961
2021-07-26,50-59yrs,17867
2021-07-26,60-69yrs,20557
2021-07-26,70-79yrs,13541
2021-07-26,80+,7975
2021-07-27,12-17yrs,5857
2021-07-27,18-29yrs,17713
2021-07-27,30-39yrs,14585
2021-07-27,40-49yrs,13983
2021-07-27,50-59yrs,17889
2021-07-27,60-69yrs,20568
2021-07-27,70-79yrs,13548
2021-07-27,80+,7976
2021-07-28,12-17yrs,5897
2021-07-28,18-29yrs,17762
2021-07-28,30-39yrs,14615
2021-07-28,40-49yrs,13997
2021-07-28,50-59yrs,17911
2021-07-28,60-69yrs,20577
2021-07-28,70-79yrs,13552
2021-07-28,80+,7981
2021-07-29,12-17yrs,5952
2021-07-29,18-29yrs,17814
2021-07-29,30-39yrs,14648
2021-07-29,40-49yrs,14006
2021-07-29,50-59yrs,17933
2021-07-29,60-69yrs,20599
2021-07-29,70-79yrs,13561
2021-07-29,80+,7986
2021-07-30,12-17yrs,5977
2021-07-30,18-29yrs,17858
2021-07-30,30-39yrs,14676
2021-07-30,40-49yrs,14023
2021-07-30,50-59yrs,17948
2021-07-30,60-69yrs,20612
2021-07-30,70-79yrs,13567
2021-07-30,80+,7988
2021-07-31,12-17yrs,6004
2021-07-31,18-29yrs,17894
2021-07-31,30-39yrs,14699
2021-07-31,40-49yrs,14045
2021-07-31,50-59yrs,17961
2021-07-31,60-69yrs,20625
2021-07-31,70-79yrs,13571
2021-07-31,80+,7991
2021-08-01,12-17yrs,6008
2021-08-01,18-29yrs,17902
2021-08-01,30-39yrs,14703
2021-08-01,40-49yrs,14048
2021-08-01,50-59yrs,17967
2021-08-01,60-69yrs,20629
2021-08-01,70-79yrs,13572
2021-08-01,80+,7991
2021-08-02,12-17yrs,6009
2021-08-02,18-29yrs,17907
2021-08-02,30-39yrs,14707
2021-08-02,40-49yrs,14049
2021-08-02,50-59yrs,17967
2021-08-02,60-69yrs,20629
2021-08-02,70-79yrs,13572
2021-08-02,80+,7992
2021-08-03,12-17yrs,6011
2021-08-03,18-29yrs,17911
2021-08-03,30-39yrs,14714
2021-08-03,40-49yrs,14049
2021-08-03,50-59yrs,17968
2021-08-03,60-69yrs,20631
2021-08-03,70-79yrs,13573
2021-08-03,80+,7992
2021-08-04,12-17yrs,6052
2021-08-04,18-29yrs,17942
2021-08-04,30-39yrs,14737
2021-08-04,40-49yrs,14069
2021-08-04,50-59yrs,17986
2021-08-04,60-69yrs,20641
2021-08-04,70-79yrs,13577
2021-08-04,80+,7994
2021-08-05,12-17yrs,6076
2021-08-05,18-29yrs,17966
2021-08-05,30-39yrs,14764
2021-08-05,40-49yrs,14087
2021-08-05,50-59yrs,18010
2021-08-05,60-69yrs,20654
2021-08-05,70-79yrs,13580
2021-08-05,80+,7996
2021-08-06,12-17yrs,6110
2021-08-06,18-29yrs,17990
2021-08-06,30-39yrs,14781
2021-08-06,40-49yrs,14102
2021-08-06,50-59yrs,18028
2021-08-06,60-69yrs,20666
2021-08-06,70-79yrs,13584
2021-08-06,80+,7997
2021-08-07,12-17yrs,6130
2021-08-07,18-29yrs,18008
2021-08-07,30-39yrs,14798
2021-08-07,40-49yrs,14114
2021-08-07,50-59yrs,18040
2021-08-07,60-69yrs,20676
2021-08-07,70-79yrs,13592
2021-08-07,80+,7997
2021-08-08,12-17yrs,6135
2021-08-08,18-29yrs,18016
2021-08-08,30-39yrs,14802
2021-08-08,40-49yrs,14118
2021-08-08,50-59yrs,18046
2021-08-08,60-69yrs,20678
2021-08-08,70-79yrs,13592
2021-08-08,80+,7998
2021-08-09,12-17yrs,6136
2021-08-09,18-29yrs,18019
2021-08-09,30-39yrs,14804
2021-08-09,40-49yrs,14119
2021-08-09,50-59yrs,18047
2021-08-09,60-69yrs,20678
2021-08-09,70-79yrs,13592
2021-08-09,80+,7998
2021-08-10,12-17yrs,6159
2021-08-10,18-29yrs,18049
2021-08-10,30-39yrs,14822
2021-08-10,40-49yrs,14143
2021-08-10,50-59yrs,18062
2021-08-10,60-69yrs,20694
2021-08-10,70-79yrs,13596
2021-08-10,80+,8000
2021-08-11,12-17yrs,6188
2021-08-11,18-29yrs,18075
2021-08-11,30-39yrs,14838
2021-08-11,40-49yrs,14164
2021-08-11,50-59yrs,18072
2021-08-11,60-69yrs,20701
2021-08-11,70-79yrs,13599
2021-08-11,80+,8003
2021-08-12,12-17yrs,6204
2021-08-12,18-29yrs,18100
2021-08-12,30-39yrs,14856
2021-08-12,40-49yrs,14183
2021-08-12,50-59yrs,18087
2021-08-12,60-69yrs,20709
2021-08-12,70-79yrs,13604
2021-08-12,80+,8003
2021-08-13,12-17yrs,6243
2021-08-13,18-29yrs,18142
2021-08-13,30-39yrs,14891
2021-08-13,40-49yrs,14207
2021-08-13,50-59yrs,18108
2021-08-13,60-69yrs,20721
2021-08-13,70-79yrs,13610
2021-08-13,80+,8010
2021-08-14,12-17yrs,6255
2021-08-14,18-29yrs,18164
2021-08-14,30-39yrs,14907
2021-08-14,40-49yrs,14218
2021-08-14,50-59yrs,18126
2021-08-14,60-69yrs,20729
2021-08-14,70-79yrs,13610
2021-08-14,80+,8012
2021-08-15,12-17yrs,6256
2021-08-15,18-29yrs,18174
2021-08-15,30-39yrs,14912
2021-08-15,40-49yrs,14220
2021-08-15,50-59yrs,18129
2021-08-15,60-69yrs,20732
2021-08-15,70-79yrs,13611
2021-08-15,80+,8013
2021-08-16,12-17yrs,6256
2021-08-16,18-29yrs,18178
2021-08-16,30-39yrs,14915
2021-08-16,40-49yrs,14221
2021-08-16,50-59yrs,18131
2021-08-16,60-69yrs,20733
2021-08-16,70-79yrs,13611
2021-08-16,80+,8013
2021-08-17,12-17yrs,6275
2021-08-17,18-29yrs,18203
2021-08-17,30-39yrs,14928
2021-08-17,40-49yrs,14235
2021-08-17,50-59yrs,18138
2021-08-17,60-69yrs,20739
2021-08-17,70-79yrs,13616
2021-08-17,80+,8014
2021-08-18,12-17yrs,6293
2021-08-18,18-29yrs,18234
