Date,one dose cumulative
2021-07-26,22239
2021-07-27,22250
2021-07-28,22315
2021-07-29,22347
2021-07-30,22370
2021-07-31,22377
2021-08-01,22391
2021-08-02,22391
2021-08-03,22391
2021-08-04,22408
2021-08-05,22462
2021-08-06,22482
2021-08-07,22493
2021-08-08,22499
2021-08-09,22500
2021-08-10,22513
2021-08-11,22550
2021-08-12,22605
2021-08-13,22623
2021-08-14,22640
2021-08-15,22643
2021-08-16,22643
2021-08-17,22654
2021-08-18,22706
2021-08-19,22725
2021-08-20,22757
2021-08-21,22762
2021-08-22,22763
2021-08-23,22763
2021-08-24,22779
2021-08-25,22869
2021-08-26,22908
2021-08-27,22918
2021-08-28,22941
2021-08-29,22947
2021-08-30,22952
2021-08-31,22961
2021-09-01,23054
2021-09-02,23090
2021-09-03,23108
2021-09-04,23149
2021-09-05,23156
2021-09-06,23156
2021-09-07,23161
2021-09-08,23262
2021-09-09,23399
2021-09-10,23461
2021-09-11,23518
2021-09-12,23530
2021-09-13,23532
2021-09-14,23554
2021-09-15,23680
2021-09-16,23728
2021-09-17,23755
2021-09-18,23799
2021-09-19,23807
2021-09-20,23816
2021-09-21,23843
2021-09-22,23967
2021-09-23,24009
2021-09-24,24040
2021-09-25,24076
2021-09-26,24088
2021-09-27,24090
2021-09-28,24205
2021-09-29,24228
2021-09-30,24339
2021-10-01,24362
2021-10-02,24412
2021-10-03,24416
2021-10-04,24429
2021-10-05,24447
2021-10-06,24553
2021-10-07,24598
2021-10-08,24612
2021-10-09,24647
2021-10-10,24651
2021-10-11,24652
2021-10-12,24652
2021-10-13,24774
2021-10-14,24842
2021-10-15,24855
2021-10-16,24877
2021-10-17,24888
2021-10-18,24892
2021-10-19,24907
2021-10-20,24970
2021-10-21,24982
2021-10-22,24993
2021-10-23,25008
2021-10-24,25010
2021-10-25,25016
2021-10-26,25031
2021-10-27,25093
2021-10-28,25136
2021-10-29,25143
2021-10-30,25151
2021-10-31,25159
2021-11-01,25162
2021-11-02,25193
2021-11-03,25221
2021-11-04,25235
2021-11-05,25245
2021-11-06,25247
2021-11-07,25251
2021-11-08,25252
2021-11-09,25263
2021-11-10,25274
2021-11-11,25293
2021-11-12,25296
2021-11-13,25305
2021-11-14,25309
2021-11-15,25313
2021-11-16,25327
2021-11-17,25333
2021-11-18,25342
2021-11-19,25357
2021-11-20,25378
2021-11-21,25380
2021-11-22,25380
2021-11-23,25410
2021-11-24,25430
2021-11-25,25451
2021-11-26,25470
2021-11-27,25478
2021-11-28,25488
2021-11-29,25489
2021-11-30,25497
2021-12-01,25826
2021-12-02,25974
2021-12-03,26119
2021-12-04,26153
2021-12-05,26157
2021-12-06,26167
2021-12-07,26267
2021-12-08,26328
2021-12-09,26351
2021-12-10,26389
2021-12-11,26395
2021-12-12,26399
2021-12-13,26409
2021-12-14,26440
2021-12-15,26484
2021-12-16,26550
2021-12-17,26632
2021-12-18,26659
2021-12-19,26669
2021-12-20,26670
2021-12-21,26712
2021-12-22,26747
2021-12-23,26781
2021-12-24,26803
2021-12-25,26802
2021-12-26,26802
2021-12-27,26802
2021-12-28,26805
2021-12-29,26815
2021-12-30,26874
2021-12-31,26923
2022-01-01,26943
2022-01-02,26944
2022-01-03,26944
2022-01-04,26948
2022-01-05,26955
2022-01-06,26999
2022-01-07,27031
2022-01-08,27060
2022-01-09,27061
2022-01-10,27063
2022-01-11,27094
2022-01-12,27117
2022-01-13,27149
2022-01-14,27190
2022-01-15,27205
2022-01-16,27204
2022-01-17,27207
2022-01-18,27263
2022-01-19,27297
2022-01-20,27324
2022-01-21,27351
2022-01-22,27351
2022-01-23,27357
2022-01-24,27361
2022-01-25,27367
2022-01-26,27376
2022-01-27,27390
2022-01-28,27400
2022-01-29,27401
2022-01-30,27405
2022-01-31,27405
2022-02-01,27424
2022-02-02,27436
2022-02-03,27439
2022-02-04,27451
2022-02-05,27456
2022-02-06,27455
2022-02-07,27455
2022-02-08,27468
2022-02-09,27474
2022-02-10,27478
2022-02-11,27488
2022-02-12,27487
2022-02-13,27487
2022-02-14,27495
2022-02-15,27501
2022-02-16,27503
2022-02-17,27499
2022-02-18,27502
2022-02-19,27505
2022-02-20,27506
2022-02-21,27505
2022-02-22,27505
2022-02-23,27505
2022-02-24,27505
2022-02-25,27508
2022-02-26,27510
2022-02-27,27510
2022-02-28,27510
2022-03-01,27510
2022-03-02,27510
2022-03-03,27513
2022-03-04,27514
2022-03-05,27515
2022-03-06,27515
2022-03-07,27515
2022-03-08,27515
2022-03-09,27516
2022-03-10,27517
2022-03-11,27517
2022-03-12,27517
2022-03-13,27517
2022-03-14,27517
2022-03-15,27519
2022-03-16,27522
2022-03-17,27523
2022-03-18,27523
2022-03-19,27523
2022-03-20,27524
2022-03-21,27525
2022-03-22,27528
2022-03-23,27530
2022-03-24,27531
2022-03-25,27529
2022-03-26,27531
2022-03-27,27531
