Date,age group,one dose cumulative
2021-07-26,12-17yrs,107989
2021-07-26,18-29yrs,406143
2021-07-26,30-39yrs,393981
2021-07-26,40-49yrs,313918
2021-07-26,50-59yrs,332799
2021-07-26,60-69yrs,289968
2021-07-26,70-79yrs,186280
2021-07-26,80+,127750
2021-07-27,12-17yrs,108465
2021-07-27,18-29yrs,406989
2021-07-27,30-39yrs,394658
2021-07-27,40-49yrs,314398
2021-07-27,50-59yrs,333180
2021-07-27,60-69yrs,290317
2021-07-27,70-79yrs,186459
2021-07-27,80+,127828
2021-07-28,12-17yrs,108978
2021-07-28,18-29yrs,407828
2021-07-28,30-39yrs,395318
2021-07-28,40-49yrs,314839
2021-07-28,50-59yrs,333556
2021-07-28,60-69yrs,290630
2021-07-28,70-79yrs,186649
2021-07-28,80+,127891
2021-07-29,12-17yrs,109537
2021-07-29,18-29yrs,408283
2021-07-29,30-39yrs,395698
2021-07-29,40-49yrs,315121
2021-07-29,50-59yrs,333853
2021-07-29,60-69yrs,290795
2021-07-29,70-79yrs,186813
2021-07-29,80+,127950
2021-07-30,12-17yrs,110106
2021-07-30,18-29yrs,409134
2021-07-30,30-39yrs,396259
2021-07-30,40-49yrs,315528
2021-07-30,50-59yrs,334203
2021-07-30,60-69yrs,291099
2021-07-30,70-79yrs,186977
2021-07-30,80+,128005
2021-07-31,12-17yrs,110642
2021-07-31,18-29yrs,409920
2021-07-31,30-39yrs,396861
2021-07-31,40-49yrs,315971
2021-07-31,50-59yrs,334591
2021-07-31,60-69yrs,291400
2021-07-31,70-79yrs,187109
2021-07-31,80+,128067
2021-08-01,12-17yrs,111084
2021-08-01,18-29yrs,410443
2021-08-01,30-39yrs,397330
2021-08-01,40-49yrs,316286
2021-08-01,50-59yrs,334877
2021-08-01,60-69yrs,291565
2021-08-01,70-79yrs,187201
2021-08-01,80+,128106
2021-08-02,12-17yrs,111387
2021-08-02,18-29yrs,410895
2021-08-02,30-39yrs,397677
2021-08-02,40-49yrs,316521
2021-08-02,50-59yrs,335072
2021-08-02,60-69yrs,291692
2021-08-02,70-79yrs,187237
2021-08-02,80+,128133
2021-08-03,12-17yrs,111547
2021-08-03,18-29yrs,411150
2021-08-03,30-39yrs,397862
2021-08-03,40-49yrs,316627
2021-08-03,50-59yrs,335173
2021-08-03,60-69yrs,291765
2021-08-03,70-79yrs,187277
2021-08-03,80+,128156
2021-08-04,12-17yrs,111994
2021-08-04,18-29yrs,411768
2021-08-04,30-39yrs,398344
2021-08-04,40-49yrs,316953
2021-08-04,50-59yrs,335444
2021-08-04,60-69yrs,291962
2021-08-04,70-79yrs,187394
2021-08-04,80+,128210
2021-08-05,12-17yrs,112410
2021-08-05,18-29yrs,412350
2021-08-05,30-39yrs,398825
2021-08-05,40-49yrs,317213
2021-08-05,50-59yrs,335725
2021-08-05,60-69yrs,292109
2021-08-05,70-79yrs,187486
2021-08-05,80+,128249
2021-08-06,12-17yrs,112828
2021-08-06,18-29yrs,412959
