Date,one dose cumulative
2021-07-26,416591
2021-07-27,417156
2021-07-28,417755
2021-07-29,422972
2021-07-30,423703
2021-07-31,424324
2021-08-01,424803
2021-08-02,425087
2021-08-03,425305
2021-08-04,425816
2021-08-05,426337
2021-08-06,426748
2021-08-07,427183
2021-08-08,427602
2021-08-09,427836
2021-08-10,428238
2021-08-11,429126
2021-08-12,429584
2021-08-13,429600
2021-08-14,430195
2021-08-15,430624
2021-08-16,430809
2021-08-17,431262
2021-08-18,431715
2021-08-19,432411
2021-08-20,433023
2021-08-21,433601
2021-08-22,434080
2021-08-23,434385
2021-08-24,434887
2021-08-25,435410
2021-08-26,435899
2021-08-27,436337
2021-08-28,436863
2021-08-29,437316
2021-08-30,437573
2021-08-31,438023
2021-09-01,438572
2021-09-02,439110
2021-09-03,439908
2021-09-04,440589
2021-09-05,441500
2021-09-06,441936
2021-09-07,442234
2021-09-08,442718
2021-09-09,443401
2021-09-10,443864
2021-09-11,444497
2021-09-12,445093
2021-09-13,445334
2021-09-14,445851
2021-09-15,446323
2021-09-16,447006
2021-09-17,447504
2021-09-18,448081
2021-09-19,448608
2021-09-20,448901
2021-09-21,449377
2021-09-22,449956
2021-09-23,450764
2021-09-24,451389
2021-09-25,452072
2021-09-26,452698
2021-09-27,452979
2021-09-28,453518
2021-09-29,454020
2021-09-30,454585
2021-10-01,455007
2021-10-02,455434
2021-10-03,455799
2021-10-04,456051
2021-10-05,456431
2021-10-06,456873
2021-10-07,457222
2021-10-08,457660
2021-10-09,458270
2021-10-10,458765
2021-10-11,458951
2021-10-12,459015
2021-10-13,459358
2021-10-14,459734
2021-10-15,460149
2021-10-16,460570
2021-10-17,460880
2021-10-18,461023
2021-10-19,461421
2021-10-20,461804
2021-10-21,462188
2021-10-22,462475
2021-10-23,462857
2021-10-24,463132
2021-10-25,463226
2021-10-26,463463
2021-10-27,463697
2021-10-28,463921
2021-10-29,464152
2021-10-30,464433
2021-10-31,464650
2021-11-01,464748
2021-11-02,464921
2021-11-03,465185
2021-11-04,465450
2021-11-05,465734
2021-11-06,466046
2021-11-07,466207
2021-11-08,466443
2021-11-09,466650
2021-11-10,466891
2021-11-11,467130
2021-11-12,467424
2021-11-13,467688
2021-11-14,467847
2021-11-15,467949
2021-11-16,468241
2021-11-17,468447
2021-11-18,468674
2021-11-19,468862
2021-11-20,469079
2021-11-21,469228
2021-11-22,469322
2021-11-23,469473
2021-11-24,469685
2021-11-25,469872
2021-11-26,470071
2021-11-27,470205
2021-11-28,470304
2021-11-29,470358
2021-11-30,470485
2021-12-01,477231
2021-12-02,478569
2021-12-03,479679
2021-12-04,481052
2021-12-05,483098
2021-12-06,484187
2021-12-07,484787
2021-12-08,485322
2021-12-09,485924
2021-12-10,486570
2021-12-11,487388
2021-12-12,488432
2021-12-13,489158
2021-12-14,489468
2021-12-15,489711
2021-12-16,490189
2021-12-17,490525
2021-12-18,490887
2021-12-19,491586
2021-12-20,492089
2021-12-21,492393
2021-12-22,492799
2021-12-23,493536
2021-12-24,494058
2021-12-25,494390
2021-12-26,494404
2021-12-27,494789
2021-12-28,495149
2021-12-29,495538
2021-12-30,496130
2021-12-31,496708
2022-01-01,497166
2022-01-02,497423
2022-01-03,497854
2022-01-04,498043
2022-01-05,498427
2022-01-06,498981
2022-01-07,499467
2022-01-08,499937
2022-01-09,500521
2022-01-10,501053
2022-01-11,501373
2022-01-12,501735
2022-01-13,502272
2022-01-14,502791
2022-01-15,503458
2022-01-16,504167
2022-01-17,504707
2022-01-18,504853
2022-01-19,505122
2022-01-20,505635
2022-01-21,505991
2022-01-22,506460
2022-01-23,506878
2022-01-24,507048
2022-01-25,507234
2022-01-26,507492
2022-01-27,507815
2022-01-28,508100
2022-01-29,508402
2022-01-30,508744
2022-01-31,508993
2022-02-01,509106
2022-02-02,509304
2022-02-03,509527
2022-02-04,509729
2022-02-05,509922
2022-02-06,510183
2022-02-07,510294
2022-02-08,510415
2022-02-09,510506
2022-02-10,510716
2022-02-11,510987
2022-02-12,511224
2022-02-13,511386
2022-02-14,511706
2022-02-15,511837
2022-02-16,511945
2022-02-17,512105
2022-02-18,512244
2022-02-19,512377
2022-02-20,512424
2022-02-21,512482
2022-02-22,512515
2022-02-23,512597
2022-02-24,512746
2022-02-25,512965
2022-02-26,513165
2022-02-27,513252
2022-02-28,513311
2022-03-01,513448
2022-03-02,513592
2022-03-03,513769
2022-03-04,513898
2022-03-05,514008
2022-03-06,514111
2022-03-07,514155
2022-03-08,514232
2022-03-09,514350
2022-03-10,514482
2022-03-11,514582
2022-03-12,514669
2022-03-13,514755
2022-03-14,514780
2022-03-15,514838
2022-03-16,514874
2022-03-17,514949
2022-03-18,515012
2022-03-19,515069
2022-03-20,515137
2022-03-21,515172
2022-03-22,515220
2022-03-23,515279
2022-03-24,515349
2022-03-25,515419
2022-03-26,515489
2022-03-27,515557
