Date,age group,one dose cumulative
2021-07-26,12-17yrs,27066
2021-07-26,18-29yrs,81927
2021-07-26,30-39yrs,65813
2021-07-26,40-49yrs,60964
2021-07-26,50-59yrs,64117
2021-07-26,60-69yrs,56364
2021-07-26,70-79yrs,37694
2021-07-26,80+,22646
2021-07-27,12-17yrs,27154
2021-07-27,18-29yrs,82096
2021-07-27,30-39yrs,65931
2021-07-27,40-49yrs,61042
2021-07-27,50-59yrs,64166
2021-07-27,60-69yrs,56401
2021-07-27,70-79yrs,37716
2021-07-27,80+,22650
2021-07-28,12-17yrs,27262
2021-07-28,18-29yrs,82255
2021-07-28,30-39yrs,66053
2021-07-28,40-49yrs,61121
2021-07-28,50-59yrs,64232
2021-07-28,60-69yrs,56438
2021-07-28,70-79yrs,37735
2021-07-28,80+,22659
2021-07-29,12-17yrs,27572
2021-07-29,18-29yrs,83813
2021-07-29,30-39yrs,67357
2021-07-29,40-49yrs,61840
2021-07-29,50-59yrs,64854
2021-07-29,60-69yrs,56901
2021-07-29,70-79yrs,37916
2021-07-29,80+,22719
2021-07-30,12-17yrs,27705
2021-07-30,18-29yrs,84011
2021-07-30,30-39yrs,67505
2021-07-30,40-49yrs,61937
2021-07-30,50-59yrs,64931
2021-07-30,60-69yrs,56948
2021-07-30,70-79yrs,37938
2021-07-30,80+,22728
2021-07-31,12-17yrs,27821
2021-07-31,18-29yrs,84194
2021-07-31,30-39yrs,67624
2021-07-31,40-49yrs,62024
2021-07-31,50-59yrs,64995
2021-07-31,60-69yrs,56985
2021-07-31,70-79yrs,37950
2021-07-31,80+,22731
2021-08-01,12-17yrs,27896
2021-08-01,18-29yrs,84347
2021-08-01,30-39yrs,67712
2021-08-01,40-49yrs,62098
2021-08-01,50-59yrs,65052
2021-08-01,60-69yrs,57005
2021-08-01,70-79yrs,37961
2021-08-01,80+,22732
2021-08-02,12-17yrs,27958
2021-08-02,18-29yrs,84436
2021-08-02,30-39yrs,67770
2021-08-02,40-49yrs,62132
2021-08-02,50-59yrs,65069
2021-08-02,60-69yrs,57026
2021-08-02,70-79yrs,37964
2021-08-02,80+,22732
2021-08-03,12-17yrs,28012
2021-08-03,18-29yrs,84501
2021-08-03,30-39yrs,67809
2021-08-03,40-49yrs,62148
2021-08-03,50-59yrs,65094
2021-08-03,60-69yrs,57038
2021-08-03,70-79yrs,37969
2021-08-03,80+,22734
2021-08-04,12-17yrs,28115
2021-08-04,18-29yrs,84654
2021-08-04,30-39yrs,67909
2021-08-04,40-49yrs,62209
2021-08-04,50-59yrs,65144
2021-08-04,60-69yrs,57063
2021-08-04,70-79yrs,37984
2021-08-04,80+,22738
2021-08-05,12-17yrs,28251
2021-08-05,18-29yrs,84786
2021-08-05,30-39yrs,68009
2021-08-05,40-49yrs,62272
2021-08-05,50-59yrs,65189
2021-08-05,60-69yrs,57088
2021-08-05,70-79yrs,37996
2021-08-05,80+,22746
2021-08-06,12-17yrs,28349
2021-08-06,18-29yrs,84901
2021-08-06,30-39yrs,68089
2021-08-06,40-49yrs,62321
2021-08-06,50-59yrs,65220
2021-08-06,60-69yrs,57116
2021-08-06,70-79yrs,38005
2021-08-06,80+,22747
2021-08-07,12-17yrs,28424
2021-08-07,18-29yrs,85032
2021-08-07,30-39yrs,68190
2021-08-07,40-49yrs,62368
2021-08-07,50-59yrs,65274
2021-08-07,60-69yrs,57137
2021-08-07,70-79yrs,38012
2021-08-07,80+,22746
2021-08-08,12-17yrs,28498
2021-08-08,18-29yrs,85143
2021-08-08,30-39yrs,68283
2021-08-08,40-49yrs,62421
2021-08-08,50-59yrs,65324
2021-08-08,60-69yrs,57161
2021-08-08,70-79yrs,38023
2021-08-08,80+,22749
2021-08-09,12-17yrs,28544
2021-08-09,18-29yrs,85214
2021-08-09,30-39yrs,68327
2021-08-09,40-49yrs,62456
2021-08-09,50-59yrs,65341
2021-08-09,60-69yrs,57174
2021-08-09,70-79yrs,38027
2021-08-09,80+,22753
2021-08-10,12-17yrs,28597
2021-08-10,18-29yrs,85358
2021-08-10,30-39yrs,68402
2021-08-10,40-49yrs,62507
2021-08-10,50-59yrs,65370
2021-08-10,60-69yrs,57208
2021-08-10,70-79yrs,38035
2021-08-10,80+,22761
2021-08-11,12-17yrs,28691
2021-08-11,18-29yrs,85563
2021-08-11,30-39yrs,68557
2021-08-11,40-49yrs,62672
2021-08-11,50-59yrs,65509
2021-08-11,60-69yrs,57307
2021-08-11,70-79yrs,38061
2021-08-11,80+,22766
2021-08-12,12-17yrs,28802
2021-08-12,18-29yrs,85692
2021-08-12,30-39yrs,68643
2021-08-12,40-49yrs,62729
2021-08-12,50-59yrs,65550
2021-08-12,60-69yrs,57329
2021-08-12,70-79yrs,38068
2021-08-12,80+,22771
2021-08-13,12-17yrs,28845
2021-08-13,18-29yrs,85747
2021-08-13,30-39yrs,68673
2021-08-13,40-49yrs,62692
2021-08-13,50-59yrs,65508
2021-08-13,60-69yrs,57294
2021-08-13,70-79yrs,38067
2021-08-13,80+,22774
2021-08-14,12-17yrs,28973
2021-08-14,18-29yrs,85921
2021-08-14,30-39yrs,68794
