Date,one dose cumulative
2021-07-26,219088
2021-07-27,219461
2021-07-28,219922
2021-07-29,219619
2021-07-30,220169
2021-07-31,220496
2021-08-01,220657
2021-08-02,220698
2021-08-03,220740
2021-08-04,221079
2021-08-05,221361
2021-08-06,221824
2021-08-07,222316
2021-08-08,222440
2021-08-09,222468
2021-08-10,222697
2021-08-11,223328
2021-08-12,223649
2021-08-13,223549
2021-08-14,223838
2021-08-15,223925
2021-08-16,223996
2021-08-17,224241
2021-08-18,224533
2021-08-19,224868
2021-08-20,225229
2021-08-21,225678
2021-08-22,225847
2021-08-23,225914
2021-08-24,226174
2021-08-25,226503
2021-08-26,226859
2021-08-27,227088
2021-08-28,227416
2021-08-29,227575
2021-08-30,227647
2021-08-31,227908
2021-09-01,228183
2021-09-02,228466
2021-09-03,229039
2021-09-04,229745
2021-09-05,229937
2021-09-06,230053
2021-09-07,230098
2021-09-08,230498
2021-09-09,230856
2021-09-10,231328
2021-09-11,231554
2021-09-12,231808
2021-09-13,231903
2021-09-14,232158
2021-09-15,232481
2021-09-16,232696
2021-09-17,233117
2021-09-18,233361
2021-09-19,233623
2021-09-20,233701
2021-09-21,233985
2021-09-22,234335
2021-09-23,234714
2021-09-24,235032
2021-09-25,235359
2021-09-26,235583
2021-09-27,235666
2021-09-28,235989
2021-09-29,236236
2021-09-30,236466
2021-10-01,236727
2021-10-02,237004
2021-10-03,237113
2021-10-04,237206
2021-10-05,237480
2021-10-06,237719
2021-10-07,237909
2021-10-08,238104
2021-10-09,238337
2021-10-10,238467
2021-10-11,238488
2021-10-12,238495
2021-10-13,238695
2021-10-14,238880
2021-10-15,239052
2021-10-16,239164
2021-10-17,239263
2021-10-18,239291
2021-10-19,239435
2021-10-20,239554
2021-10-21,239695
2021-10-22,239861
2021-10-23,240060
2021-10-24,240031
2021-10-25,240066
2021-10-26,240209
2021-10-27,240379
2021-10-28,240469
2021-10-29,240624
2021-10-30,240775
2021-10-31,240832
2021-11-01,240851
2021-11-02,240929
2021-11-03,241038
2021-11-04,241160
2021-11-05,241264
2021-11-06,241296
2021-11-07,241342
2021-11-08,241435
2021-11-09,241533
2021-11-10,241628
2021-11-11,241704
2021-11-12,241797
2021-11-13,241927
2021-11-14,241964
2021-11-15,241930
2021-11-16,242025
2021-11-17,242145
2021-11-18,242216
2021-11-19,242313
2021-11-20,242409
2021-11-21,242481
2021-11-22,242500
2021-11-23,242638
2021-11-24,242707
2021-11-25,242794
2021-11-26,242856
2021-11-27,242969
2021-11-28,243023
2021-11-29,243054
2021-11-30,243122
2021-12-01,246201
2021-12-02,246994
2021-12-03,247527
2021-12-04,247950
2021-12-05,248572
2021-12-06,248822
2021-12-07,249305
2021-12-08,249801
2021-12-09,250612
2021-12-10,251134
2021-12-11,251311
2021-12-12,251734
2021-12-13,251819
2021-12-14,252270
2021-12-15,252759
2021-12-16,253112
2021-12-17,253503
2021-12-18,253837
2021-12-19,254545
2021-12-20,254630
2021-12-21,255088
2021-12-22,255538
2021-12-23,255819
2021-12-24,256101
2021-12-25,256154
2021-12-26,256158
2021-12-27,256155
2021-12-28,256344
2021-12-29,256562
2021-12-30,256768
2021-12-31,257021
2022-01-01,257137
2022-01-02,257142
2022-01-03,257193
2022-01-04,257327
2022-01-05,257541
2022-01-06,257729
2022-01-07,258024
2022-01-08,258255
2022-01-09,258381
2022-01-10,258453
2022-01-11,258719
2022-01-12,258955
2022-01-13,259233
2022-01-14,259531
2022-01-15,259822
2022-01-16,260003
2022-01-17,260038
2022-01-18,260109
2022-01-19,260245
2022-01-20,260441
2022-01-21,260563
2022-01-22,260593
2022-01-23,260699
2022-01-24,260732
2022-01-25,260871
2022-01-26,260792
2022-01-27,260770
2022-01-28,260868
2022-01-29,261066
2022-01-30,261161
2022-01-31,261166
2022-02-01,261243
2022-02-02,261286
2022-02-03,261213
2022-02-04,261304
2022-02-05,261395
2022-02-06,261501
2022-02-07,261519
2022-02-08,261610
2022-02-09,261703
2022-02-10,261775
2022-02-11,261850
2022-02-12,261916
2022-02-13,261957
2022-02-14,262117
2022-02-15,262177
2022-02-16,262241
2022-02-17,262286
2022-02-18,262331
2022-02-19,262357
2022-02-20,262364
2022-02-21,262378
2022-02-22,262378
2022-02-23,262419
2022-02-24,262453
2022-02-25,262522
2022-02-26,262587
2022-02-27,262600
2022-02-28,262608
2022-03-01,262694
2022-03-02,262732
2022-03-03,262773
2022-03-04,262810
2022-03-05,262827
2022-03-06,262830
2022-03-07,262834
2022-03-08,262846
2022-03-09,262874
2022-03-10,262915
2022-03-11,262930
2022-03-12,262966
2022-03-13,262972
2022-03-14,262975
2022-03-15,263001
2022-03-16,263024
2022-03-17,263050
2022-03-18,263089
2022-03-19,263113
2022-03-20,263123
2022-03-21,263126
2022-03-22,263167
2022-03-23,263179
2022-03-24,263215
2022-03-25,263232
2022-03-26,263258
2022-03-27,263272
