Date,age group,one dose cumulative
2021-07-26,12-17yrs,13786
2021-07-26,18-29yrs,34659
2021-07-26,30-39yrs,31582
2021-07-26,40-49yrs,31279
2021-07-26,50-59yrs,36884
2021-07-26,60-69yrs,34269
2021-07-26,70-79yrs,22814
2021-07-26,80+,13815
2021-07-27,12-17yrs,13862
2021-07-27,18-29yrs,34740
2021-07-27,30-39yrs,31655
2021-07-27,40-49yrs,31332
2021-07-27,50-59yrs,36928
2021-07-27,60-69yrs,34301
2021-07-27,70-79yrs,22820
2021-07-27,80+,13823
2021-07-28,12-17yrs,13955
2021-07-28,18-29yrs,34857
2021-07-28,30-39yrs,31763
2021-07-28,40-49yrs,31384
2021-07-28,50-59yrs,36975
2021-07-28,60-69yrs,34329
2021-07-28,70-79yrs,22831
2021-07-28,80+,13828
2021-07-29,12-17yrs,14032
2021-07-29,18-29yrs,34816
2021-07-29,30-39yrs,31667
2021-07-29,40-49yrs,31310
2021-07-29,50-59yrs,36890
2021-07-29,60-69yrs,34253
2021-07-29,70-79yrs,22821
2021-07-29,80+,13830
2021-07-30,12-17yrs,14162
2021-07-30,18-29yrs,34930
2021-07-30,30-39yrs,31774
2021-07-30,40-49yrs,31383
2021-07-30,50-59yrs,36958
2021-07-30,60-69yrs,34295
2021-07-30,70-79yrs,22835
2021-07-30,80+,13832
2021-07-31,12-17yrs,14230
2021-07-31,18-29yrs,35019
2021-07-31,30-39yrs,31834
2021-07-31,40-49yrs,31427
2021-07-31,50-59yrs,36999
2021-07-31,60-69yrs,34315
2021-07-31,70-79yrs,22840
2021-07-31,80+,13832
2021-08-01,12-17yrs,14268
2021-08-01,18-29yrs,35068
2021-08-01,30-39yrs,31862
2021-08-01,40-49yrs,31451
2021-08-01,50-59yrs,37011
2021-08-01,60-69yrs,34323
2021-08-01,70-79yrs,22842
2021-08-01,80+,13832
2021-08-02,12-17yrs,14273
2021-08-02,18-29yrs,35080
2021-08-02,30-39yrs,31876
2021-08-02,40-49yrs,31455
2021-08-02,50-59yrs,37014
2021-08-02,60-69yrs,34325
2021-08-02,70-79yrs,22843
2021-08-02,80+,13832
2021-08-03,12-17yrs,14282
2021-08-03,18-29yrs,35096
2021-08-03,30-39yrs,31888
2021-08-03,40-49yrs,31460
2021-08-03,50-59yrs,37014
2021-08-03,60-69yrs,34324
2021-08-03,70-79yrs,22844
2021-08-03,80+,13832
2021-08-04,12-17yrs,14375
2021-08-04,18-29yrs,35172
2021-08-04,30-39yrs,31938
2021-08-04,40-49yrs,31504
2021-08-04,50-59yrs,37057
2021-08-04,60-69yrs,34351
2021-08-04,70-79yrs,22847
2021-08-04,80+,13835
2021-08-05,12-17yrs,14435
2021-08-05,18-29yrs,35266
2021-08-05,30-39yrs,31978
2021-08-05,40-49yrs,31535
2021-08-05,50-59yrs,37096
2021-08-05,60-69yrs,34360
2021-08-05,70-79yrs,22851
2021-08-05,80+,13840
2021-08-06,12-17yrs,14514
2021-08-06,18-29yrs,35372
2021-08-06,30-39yrs,32082
2021-08-06,40-49yrs,31582
2021-08-06,50-59yrs,37144
2021-08-06,60-69yrs,34403
2021-08-06,70-79yrs,22871
2021-08-06,80+,13856
2021-08-07,12-17yrs,14585
2021-08-07,18-29yrs,35498
2021-08-07,30-39yrs,32186
2021-08-07,40-49yrs,31639
2021-08-07,50-59yrs,37195
2021-08-07,60-69yrs,34456
2021-08-07,70-79yrs,22884
2021-08-07,80+,13873
2021-08-08,12-17yrs,14605
2021-08-08,18-29yrs,35533
2021-08-08,30-39yrs,32207
2021-08-08,40-49yrs,31663
2021-08-08,50-59yrs,37205
2021-08-08,60-69yrs,34465
2021-08-08,70-79yrs,22888
2021-08-08,80+,13874
2021-08-09,12-17yrs,14606
2021-08-09,18-29yrs,35541
2021-08-09,30-39yrs,32214
2021-08-09,40-49yrs,31664
2021-08-09,50-59yrs,37212
2021-08-09,60-69yrs,34468
2021-08-09,70-79yrs,22889
2021-08-09,80+,13874
2021-08-10,12-17yrs,14644
2021-08-10,18-29yrs,35601
2021-08-10,30-39yrs,32275
2021-08-10,40-49yrs,31694
2021-08-10,50-59yrs,37231
2021-08-10,60-69yrs,34481
2021-08-10,70-79yrs,22896
2021-08-10,80+,13875
2021-08-11,12-17yrs,14723
2021-08-11,18-29yrs,35733
2021-08-11,30-39yrs,32381
2021-08-11,40-49yrs,31769
2021-08-11,50-59yrs,37327
2021-08-11,60-69yrs,34540
2021-08-11,70-79yrs,22966
2021-08-11,80+,13889
2021-08-12,12-17yrs,14799
2021-08-12,18-29yrs,35822
2021-08-12,30-39yrs,32437
2021-08-12,40-49yrs,31813
2021-08-12,50-59yrs,37359
2021-08-12,60-69yrs,34554
2021-08-12,70-79yrs,22972
2021-08-12,80+,13893
2021-08-13,12-17yrs,14829
2021-08-13,18-29yrs,35823
2021-08-13,30-39yrs,32438
2021-08-13,40-49yrs,31815
2021-08-13,50-59yrs,37327
2021-08-13,60-69yrs,34520
2021-08-13,70-79yrs,22913
2021-08-13,80+,13884
2021-08-14,12-17yrs,14884
2021-08-14,18-29yrs,35898
2021-08-14,30-39yrs,32502
2021-08-14,40-49yrs,31858
2021-08-14,50-59yrs,37345
2021-08-14,60-69yrs,34542
2021-08-14,70-79yrs,22921
2021-08-14,80+,13888
2021-08-15,12-17yrs,14890
2021-08-15,18-29yrs,35927
2021-08-15,30-39yrs,32522
2021-08-15,40-49yrs,31874
2021-08-15,50-59yrs,37357
2021-08-15,60-69yrs,34547
2021-08-15,70-79yrs,22921
2021-08-15,80+,13887
2021-08-16,12-17yrs,14900
2021-08-16,18-29yrs,35945
2021-08-16,30-39yrs,32534
2021-08-16,40-49yrs,31890
2021-08-16,50-59yrs,37367
2021-08-16,60-69yrs,34550
2021-08-16,70-79yrs,22923
2021-08-16,80+,13887
2021-08-17,12-17yrs,14946
2021-08-17,18-29yrs,36014
2021-08-17,30-39yrs,32587
2021-08-17,40-49yrs,31923
2021-08-17,50-59yrs,37394
2021-08-17,60-69yrs,34557
2021-08-17,70-79yrs,22930
2021-08-17,80+,13890
2021-08-18,12-17yrs,14996
2021-08-18,18-29yrs,36112
2021-08-18,30-39yrs,32652
2021-08-18,40-49yrs,31954
2021-08-18,50-59yrs,37411
2021-08-18,60-69yrs,34580
2021-08-18,70-79yrs,22935
2021-08-18,80+,13893
2021-08-19,12-17yrs,15103
2021-08-19,18-29yrs,36172
2021-08-19,30-39yrs,32703
2021-08-19,40-49yrs,32005
2021-08-19,50-59yrs,37455
2021-08-19,60-69yrs,34593
2021-08-19,70-79yrs,22939
2021-08-19,80+,13898
2021-08-20,12-17yrs,15219
2021-08-20,18-29yrs,36264
2021-08-20,30-39yrs,32764
2021-08-20,40-49yrs,32038
2021-08-20,50-59yrs,37486
2021-08-20,60-69yrs,34611
2021-08-20,70-79yrs,22947
2021-08-20,80+,13900
2021-08-21,12-17yrs,15373
2021-08-21,18-29yrs,36377
2021-08-21,30-39yrs,32836
2021-08-21,40-49yrs,32077
2021-08-21,50-59yrs,37520
2021-08-21,60-69yrs,34633
2021-08-21,70-79yrs,22958
2021-08-21,80+,13904
2021-08-22,12-17yrs,15421
2021-08-22,18-29yrs,36421
2021-08-22,30-39yrs,32861
2021-08-22,40-49yrs,32098
2021-08-22,50-59yrs,37537
2021-08-22,60-69yrs,34639
2021-08-22,70-79yrs,22963
2021-08-22,80+,13907
2021-08-23,12-17yrs,15430
2021-08-23,18-29yrs,36443
2021-08-23,30-39yrs,32875
2021-08-23,40-49yrs,32108
2021-08-23,50-59yrs,37542
2021-08-23,60-69yrs,34644
2021-08-23,70-79yrs,22964
2021-08-23,80+,13908
2021-08-24,12-17yrs,15503
2021-08-24,18-29yrs,36502
2021-08-24,30-39yrs,32919
2021-08-24,40-49yrs,32149
2021-08-24,50-59yrs,37565
2021-08-24,60-69yrs,34657
2021-08-24,70-79yrs,22969
2021-08-24,80+,13910
2021-08-25,12-17yrs,15586
2021-08-25,18-29yrs,36606
2021-08-25,30-39yrs,32982
2021-08-25,40-49yrs,32190
2021-08-25,50-59yrs,37584
2021-08-25,60-69yrs,34674
2021-08-25,70-79yrs,22971
2021-08-25,80+,13910
2021-08-26,12-17yrs,15695
2021-08-26,18-29yrs,36691
2021-08-26,30-39yrs,33049
2021-08-26,40-49yrs,32241
2021-08-26,50-59yrs,37609
2021-08-26,60-69yrs,34687
2021-08-26,70-79yrs,22974
2021-08-26,80+,13913
2021-08-27,12-17yrs,15750
2021-08-27,18-29yrs,36746
2021-08-27,30-39yrs,33093
2021-08-27,40-49yrs,32273
2021-08-27,50-59yrs,37636
2021-08-27,60-69yrs,34700
2021-08-27,70-79yrs,22977
2021-08-27,80+,13913
2021-08-28,12-17yrs,15824
2021-08-28,18-29yrs,36825
2021-08-28,30-39yrs,33146
2021-08-28,40-49yrs,32326
2021-08-28,50-59yrs,37671
2021-08-28,60-69yrs,34724
2021-08-28,70-79yrs,22984
2021-08-28,80+,13916
2021-08-29,12-17yrs,15857
2021-08-29,18-29yrs,36870
2021-08-29,30-39yrs,33185
2021-08-29,40-49yrs,32343
2021-08-29,50-59yrs,37687
2021-08-29,60-69yrs,34731
2021-08-29,70-79yrs,22985
2021-08-29,80+,13917
2021-08-30,12-17yrs,15874
2021-08-30,18-29yrs,36892
2021-08-30,30-39yrs,33197
2021-08-30,40-49yrs,32352
2021-08-30,50-59yrs,37694
2021-08-30,60-69yrs,34736
2021-08-30,70-79yrs,22985
2021-08-30,80+,13917
2021-08-31,12-17yrs,15930
2021-08-31,18-29yrs,36959
2021-08-31,30-39yrs,33247
2021-08-31,40-49yrs,32384
2021-08-31,50-59yrs,37729
2021-08-31,60-69yrs,34749
2021-08-31,70-79yrs,22990
2021-08-31,80+,13920
2021-09-01,12-17yrs,16029
2021-09-01,18-29yrs,37020
2021-09-01,30-39yrs,33295
2021-09-01,40-49yrs,32412
2021-09-01,50-59yrs,37754
2021-09-01,60-69yrs,34756
2021-09-01,70-79yrs,22997
2021-09-01,80+,13920
2021-09-02,12-17yrs,16081
2021-09-02,18-29yrs,37102
2021-09-02,30-39yrs,33356
2021-09-02,40-49yrs,32459
2021-09-02,50-59yrs,37777
2021-09-02,60-69yrs,34766
2021-09-02,70-79yrs,23003
2021-09-02,80+,13922
2021-09-03,12-17yrs,16201
2021-09-03,18-29yrs,37283
2021-09-03,30-39yrs,33490
2021-09-03,40-49yrs,32531
2021-09-03,50-59yrs,37819
2021-09-03,60-69yrs,34784
2021-09-03,70-79yrs,23006
2021-09-03,80+,13925
2021-09-04,12-17yrs,16285
2021-09-04,18-29yrs,37476
2021-09-04,30-39yrs,33619
2021-09-04,40-49yrs,32640
2021-09-04,50-59yrs,37932
2021-09-04,60-69yrs,34837
2021-09-04,70-79yrs,23019
2021-09-04,80+,13937
2021-09-05,12-17yrs,16309
2021-09-05,18-29yrs,37553
2021-09-05,30-39yrs,33659
2021-09-05,40-49yrs,32668
2021-09-05,50-59yrs,37943
2021-09-05,60-69yrs,34845
2021-09-05,70-79yrs,23023
2021-09-05,80+,13937
2021-09-06,12-17yrs,16332
2021-09-06,18-29yrs,37595
2021-09-06,30-39yrs,33686
2021-09-06,40-49yrs,32679
2021-09-06,50-59yrs,37953
2021-09-06,60-69yrs,34847
2021-09-06,70-79yrs,23024
2021-09-06,80+,13937
2021-09-07,12-17yrs,16335
2021-09-07,18-29yrs,37612
2021-09-07,30-39yrs,33700
2021-09-07,40-49yrs,32687
2021-09-07,50-59yrs,37954
2021-09-07,60-69yrs,34849
2021-09-07,70-79yrs,23025
2021-09-07,80+,13936
2021-09-08,12-17yrs,16396
2021-09-08,18-29yrs,37745
2021-09-08,30-39yrs,33805
2021-09-08,40-49yrs,32730
2021-09-08,50-59yrs,37985
2021-09-08,60-69yrs,34869
2021-09-08,70-79yrs,23032
2021-09-08,80+,13936
2021-09-09,12-17yrs,16433
2021-09-09,18-29yrs,37869
2021-09-09,30-39yrs,33906
2021-09-09,40-49yrs,32774
2021-09-09,50-59yrs,38020
