Date,one dose cumulative
2021-07-26,287667
2021-07-27,288068
2021-07-28,288623
2021-07-29,288774
2021-07-30,289316
2021-07-31,289806
2021-08-01,290262
2021-08-02,290418
2021-08-03,290616
2021-08-04,290933
2021-08-05,291382
2021-08-06,291889
2021-08-07,292449
2021-08-08,292801
2021-08-09,292993
2021-08-10,293422
2021-08-11,293357
2021-08-12,293832
2021-08-13,294791
2021-08-14,295141
2021-08-15,295507
2021-08-16,295702
2021-08-17,296183
2021-08-18,296690
2021-08-19,297442
2021-08-20,298004
2021-08-21,298525
2021-08-22,298939
2021-08-23,299167
2021-08-24,299590
2021-08-25,300024
2021-08-26,300458
2021-08-27,300876
2021-08-28,301311
2021-08-29,301749
2021-08-30,302022
2021-08-31,302461
2021-09-01,302870
2021-09-02,303342
2021-09-03,304144
2021-09-04,305019
2021-09-05,305702
2021-09-06,306136
2021-09-07,306546
2021-09-08,307045
2021-09-09,307538
2021-09-10,308014
2021-09-11,308608
2021-09-12,309107
2021-09-13,309424
2021-09-14,309837
2021-09-15,310224
2021-09-16,310727
2021-09-17,311196
2021-09-18,311688
2021-09-19,312130
2021-09-20,312401
2021-09-21,312779
2021-09-22,313249
2021-09-23,313741
2021-09-24,314452
2021-09-25,315017
2021-09-26,315531
2021-09-27,315832
2021-09-28,316234
2021-09-29,316632
2021-09-30,317028
2021-10-01,317401
2021-10-02,317813
2021-10-03,318107
2021-10-04,318388
2021-10-05,318828
2021-10-06,319305
2021-10-07,319669
2021-10-08,320133
2021-10-09,320676
2021-10-10,320975
2021-10-11,321196
2021-10-12,321328
2021-10-13,321727
2021-10-14,322174
2021-10-15,322492
2021-10-16,322860
2021-10-17,323167
2021-10-18,323336
2021-10-19,323668
2021-10-20,323910
2021-10-21,324161
2021-10-22,324449
2021-10-23,324859
2021-10-24,325101
2021-10-25,325303
2021-10-26,325562
2021-10-27,325790
2021-10-28,326008
2021-10-29,326225
2021-10-30,326526
2021-10-31,326709
2021-11-01,326813
2021-11-02,326983
2021-11-03,327191
2021-11-04,327399
2021-11-05,327586
2021-11-06,327664
2021-11-07,327833
2021-11-08,328115
2021-11-09,328293
2021-11-10,328447
2021-11-11,328675
2021-11-12,328822
2021-11-13,329079
2021-11-14,329239
2021-11-15,329333
2021-11-16,329511
2021-11-17,329675
2021-11-18,329875
2021-11-19,330067
2021-11-20,330302
2021-11-21,330430
2021-11-22,330564
2021-11-23,330731
2021-11-24,330876
2021-11-25,331045
2021-11-26,331228
2021-11-27,331379
2021-11-28,331489
2021-11-29,331562
2021-11-30,331687
2021-12-01,336170
2021-12-02,336760
2021-12-03,337255
2021-12-04,337859
2021-12-05,338615
2021-12-06,338963
2021-12-07,339356
2021-12-08,339822
2021-12-09,340281
2021-12-10,340704
2021-12-11,341163
2021-12-12,341742
2021-12-13,342078
2021-12-14,342353
2021-12-15,342644
2021-12-16,342962
2021-12-17,343218
2021-12-18,343524
2021-12-19,343818
2021-12-20,344073
2021-12-21,344444
2021-12-22,344822
2021-12-23,345212
2021-12-24,345610
2021-12-25,345700
2021-12-26,345702
2021-12-27,345792
2021-12-28,346016
2021-12-29,346246
2021-12-30,346507
2021-12-31,346778
2022-01-01,346834
2022-01-02,346858
2022-01-03,347051
2022-01-04,347267
2022-01-05,347576
2022-01-06,347919
2022-01-07,348250
2022-01-08,348705
2022-01-09,348948
2022-01-10,349136
2022-01-11,349384
2022-01-12,349841
2022-01-13,350262
2022-01-14,350772
2022-01-15,351347
2022-01-16,351698
2022-01-17,351959
2022-01-18,352245
2022-01-19,352554
2022-01-20,353186
2022-01-21,353490
2022-01-22,353866
2022-01-23,354110
2022-01-24,354214
2022-01-25,354618
2022-01-26,354848
2022-01-27,355094
2022-01-28,355417
2022-01-29,355592
2022-01-30,355734
2022-01-31,355783
2022-02-01,355992
2022-02-02,356133
2022-02-03,356287
2022-02-04,356409
2022-02-05,356598
2022-02-06,356703
2022-02-07,356747
2022-02-08,356877
2022-02-09,357025
2022-02-10,357150
2022-02-11,357375
2022-02-12,357556
2022-02-13,357634
2022-02-14,357769
2022-02-15,357944
2022-02-16,358042
2022-02-17,358149
2022-02-18,358226
2022-02-19,358291
2022-02-20,358344
2022-02-21,358369
2022-02-22,358396
2022-02-23,358506
2022-02-24,358604
2022-02-25,358666
2022-02-26,358758
2022-02-27,358795
2022-02-28,358818
2022-03-01,358868
2022-03-02,358980
2022-03-03,359019
2022-03-04,359070
2022-03-05,359110
2022-03-06,359114
2022-03-07,359116
2022-03-08,359160
2022-03-09,359199
2022-03-10,359221
2022-03-11,359255
2022-03-12,359281
2022-03-13,359308
2022-03-14,359312
2022-03-15,359329
2022-03-16,359423
2022-03-17,359459
2022-03-18,359481
2022-03-19,359513
2022-03-20,359562
2022-03-21,359564
2022-03-22,359619
2022-03-23,359659
2022-03-24,359691
2022-03-25,359738
2022-03-26,359768
2022-03-27,359799
