Date,age group,one dose cumulative
2021-07-26,12-17yrs,61429
2021-07-26,18-29yrs,137791
2021-07-26,30-39yrs,114950
2021-07-26,40-49yrs,136633
2021-07-26,50-59yrs,152643
2021-07-26,60-69yrs,124045
2021-07-26,70-79yrs,81200
2021-07-26,80+,47516
2021-07-27,12-17yrs,61652
2021-07-27,18-29yrs,137981
2021-07-27,30-39yrs,115080
2021-07-27,40-49yrs,136750
2021-07-27,50-59yrs,152760
2021-07-27,60-69yrs,124121
2021-07-27,70-79yrs,81232
2021-07-27,80+,47527
2021-07-28,12-17yrs,61860
2021-07-28,18-29yrs,138157
2021-07-28,30-39yrs,115231
2021-07-28,40-49yrs,136866
2021-07-28,50-59yrs,152887
2021-07-28,60-69yrs,124200
2021-07-28,70-79yrs,81285
2021-07-28,80+,47543
2021-07-29,12-17yrs,62076
2021-07-29,18-29yrs,138310
2021-07-29,30-39yrs,115330
2021-07-29,40-49yrs,136967
2021-07-29,50-59yrs,152988
2021-07-29,60-69yrs,124302
2021-07-29,70-79yrs,81345
2021-07-29,80+,47551
2021-07-30,12-17yrs,62372
2021-07-30,18-29yrs,138472
2021-07-30,30-39yrs,115451
2021-07-30,40-49yrs,137071
2021-07-30,50-59yrs,153067
2021-07-30,60-69yrs,124376
2021-07-30,70-79yrs,81378
2021-07-30,80+,47574
2021-07-31,12-17yrs,62630
2021-07-31,18-29yrs,138616
2021-07-31,30-39yrs,115584
2021-07-31,40-49yrs,137156
2021-07-31,50-59yrs,153164
2021-07-31,60-69yrs,124439
2021-07-31,70-79yrs,81426
2021-07-31,80+,47585
2021-08-01,12-17yrs,62843
2021-08-01,18-29yrs,138794
2021-08-01,30-39yrs,115687
2021-08-01,40-49yrs,137277
2021-08-01,50-59yrs,153263
2021-08-01,60-69yrs,124486
2021-08-01,70-79yrs,81452
2021-08-01,80+,47598
2021-08-02,12-17yrs,63016
2021-08-02,18-29yrs,138897
2021-08-02,30-39yrs,115792
2021-08-02,40-49yrs,137345
2021-08-02,50-59yrs,153331
2021-08-02,60-69yrs,124521
2021-08-02,70-79yrs,81465
2021-08-02,80+,47601
2021-08-03,12-17yrs,63175
2021-08-03,18-29yrs,138985
2021-08-03,30-39yrs,115847
2021-08-03,40-49yrs,137384
2021-08-03,50-59yrs,153359
2021-08-03,60-69yrs,124544
2021-08-03,70-79yrs,81484
2021-08-03,80+,47605
2021-08-04,12-17yrs,63382
2021-08-04,18-29yrs,139109
2021-08-04,30-39yrs,115924
2021-08-04,40-49yrs,137461
2021-08-04,50-59yrs,153430
2021-08-04,60-69yrs,124605
2021-08-04,70-79yrs,81516
2021-08-04,80+,47625
2021-08-05,12-17yrs,63583
2021-08-05,18-29yrs,139274
2021-08-05,30-39yrs,116025
2021-08-05,40-49yrs,137552
2021-08-05,50-59yrs,153498
2021-08-05,60-69yrs,124679
2021-08-05,70-79yrs,81557
2021-08-05,80+,47647
2021-08-06,12-17yrs,63723
2021-08-06,18-29yrs,139404
2021-08-06,30-39yrs,116115
2021-08-06,40-49yrs,137624
2021-08-06,50-59yrs,153576
2021-08-06,60-69yrs,124740
2021-08-06,70-79yrs,81589
2021-08-06,80+,47662
2021-08-07,12-17yrs,63888
2021-08-07,18-29yrs,139552
2021-08-07,30-39yrs,116244
